Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.0125,0,10000,1,51,0.015075456,1.22E-05,0.007079591,2.89E-06,18751.12381,6451157.51,949,0,10000,0,10000,1,0.479395,0,10000,0,0
6,0.0125,0,10000,1,51,0.015420824,1.17E-05,0.007365451,3.00E-06,19015.31852,6869541.567,949,0,10000,0,10000,1,0.572884,0,10000,0,0
6,0.0125,0,10000,1,43,0.015289594,1.41E-05,0.007270578,3.27E-06,18251.64428,6412097.472,957,0,10000,0,10000,1,0.432415,0,10000,0,0
6,0.0125,0,10000,1,49,0.014743365,8.84E-06,0.007038862,1.91E-06,18611.25766,4183559.218,951,0,10000,0,10000,1,0.459775,0,10000,0,0
6,0.0125,0,10000,1,37,0.015769248,1.58E-05,0.00741276,4.16E-06,18869.3243,9362847.992,963,0,10000,0,10000,1,0.427368,0,10000,0,0
6,0.0125,0,10000,1,52,0.015813656,1.55E-05,0.007411278,3.48E-06,18761.50847,7188806.962,948,0,10000,0,10000,1,0.42273,0,10000,0,0
6,0.0125,0,10000,1,44,0.015671962,1.31E-05,0.007515754,3.58E-06,18616.53782,8932788.805,956,0,10000,0,10000,1,0.492581,0,10000,0,0
6,0.0125,0,10000,1,56,0.015850434,1.38E-05,0.00745277,3.02E-06,18794.00851,5788717.877,944,0,10000,0,10000,1,0.459407,0,10000,0,0
6,0.0125,0,10000,1,49,0.015284291,1.35E-05,0.007309512,3.31E-06,18481.54382,7082509.129,951,0,10000,0,10000,1,0.434504,0,10000,0,0
6,0.0125,0,10000,1,50,0.015527166,1.61E-05,0.007396424,3.92E-06,18534.47252,8755795.571,950,0,10000,0,10000,1,0.473887,0,10000,0,0
6,0.0125,0,10000,1,55,0.014737604,1.19E-05,0.006979364,2.93E-06,18542.14984,7049862.965,945,0,10000,0,10000,1,0.552516,0,10000,0,0
6,0.0125,0,10000,1,46,0.014964082,1.37E-05,0.007115033,3.33E-06,18494.16316,6655669.463,954,0,10000,0,10000,1,0.459541,0,10000,0,0
6,0.0125,0,10000,1,45,0.014822126,1.09E-05,0.006922809,2.29E-06,18993.48055,6267941.371,955,0,10000,0,10000,1,0.517806,0,10000,0,0
6,0.0125,0,10000,1,52,0.01576444,1.25E-05,0.007523773,3.29E-06,18440.3411,6520614.494,948,0,10000,0,10000,1,0.401405,0,10000,0,0
6,0.0125,0,10000,1,40,0.015089405,1.10E-05,0.00714604,2.73E-06,18801.70084,7282051.827,960,0,10000,0,10000,1,0.425781,0,10000,0,0
6,0.0125,0,10000,1,49,0.015122774,1.08E-05,0.00709267,2.72E-06,18679.80887,6198164.235,951,0,10000,0,10000,1,0.348321,0,10000,0,0
6,0.0125,0,10000,1,51,0.01489786,1.12E-05,0.007083571,2.67E-06,18369.28571,6294860.538,949,0,10000,0,10000,1,0.385634,0,10000,0,0
6,0.0125,0,10000,1,51,0.014822328,1.19E-05,0.007036361,2.91E-06,18921.25503,7915517.1,949,0,10000,0,10000,1,0.536648,0,10000,0,0
6,0.0125,0,10000,1,49,0.014760021,9.25E-06,0.007008999,2.20E-06,18885.90496,6726193.298,951,0,10000,0,10000,1,0.443632,0,10000,0,0
6,0.0125,0,10000,1,48,0.015561558,1.05E-05,0.007271502,2.17E-06,18723.11498,5081570.773,952,0,10000,0,10000,1,0.395847,0,10000,0,0
6,0.0125,0,10000,1,52,0.015566006,1.26E-05,0.007406294,2.58E-06,18702.43114,5990984.3,948,0,10000,0,10000,1,0.472244,0,10000,0,0
6,0.0125,0,10000,1,44,0.015292184,1.29E-05,0.007247175,3.29E-06,18837.68803,7409361.303,956,0,10000,0,10000,1,0.466119,0,10000,0,0
6,0.0125,0,10000,1,45,0.015708544,1.36E-05,0.007422392,3.35E-06,18629.42271,8716997.418,955,0,10000,0,10000,1,0.403732,0,10000,0,0
6,0.0125,0,10000,1,49,0.015317205,1.44E-05,0.007187612,2.96E-06,18773.50475,7024603.893,951,0,10000,0,10000,1,0.45491,0,10000,0,0
6,0.0125,0,10000,1,51,0.015242915,1.34E-05,0.007331785,3.16E-06,18629.26667,6853826.636,949,0,10000,0,10000,1,0.537402,0,10000,0,0
6,0.0125,0,10000,1,53,0.015229,1.24E-05,0.007171745,2.75E-06,18636.1368,7236930.188,947,0,10000,0,10000,1,0.450452,0,10000,0,0
6,0.0125,0,10000,1,54,0.015023569,1.14E-05,0.007142912,2.58E-06,18337.94798,6539833.792,946,0,10000,0,10000,1,0.436783,0,10000,0,0
6,0.0125,0,10000,1,48,0.014990491,1.09E-05,0.007160347,2.82E-06,18769.51055,8082242.729,952,0,10000,0,10000,1,0.497998,0,10000,0,0
6,0.0125,0,10000,1,53,0.015689354,1.45E-05,0.007466685,3.52E-06,18421.93107,8073964.264,947,0,10000,0,10000,1,0.475046,0,10000,0,0
6,0.0125,0,10000,1,51,0.015360278,1.08E-05,0.00734196,2.81E-06,18591.9873,5562345.943,949,0,10000,0,10000,1,0.47194,0,10000,0,0
6,0.0125,0,10000,1,50,0.015765776,1.35E-05,0.007476341,3.30E-06,18596.31078,7398262.485,950,0,10000,0,10000,1,0.485556,0,10000,0,0
6,0.0125,0,10000,1,50,0.014891152,1.33E-05,0.007068396,2.82E-06,18572.66173,5861704.444,950,0,10000,0,10000,1,0.520689,0,10000,0,0
6,0.0125,0,10000,1,37,0.01501347,1.22E-05,0.007145876,3.13E-06,18886.03754,9212264.656,963,0,10000,0,10000,1,0.416356,0,10000,0,0
