Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.8,0.95,1,913,1,29,0.05822005,0.00204084,0.03274007,0.00094486,5237.69704,11927260.1,882,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,29,0.05390225,0.00118533,0.03034816,0.00049034,5481.20786,12108767.3,971,0,10000,0,10000,1,0.535441,0,10000,0,0
0.8,0.95,0,10000,1,26,0.0541387,0.00100478,0.03018069,0.00037744,5661.33196,17091759.1,974,0,10000,0,10000,1,0.656841,0,10000,0,0
0.8,0.95,0,10000,1,23,0.0605789,0.00246235,0.03585479,0.00137539,5323.82117,15434633,977,0,10000,0,10000,1,0.792453,0,10000,0,0
0.8,0.95,1,632,1,26,0.05317302,0.00098964,0.029923,0.0004258,5724.04341,22886260.8,603,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,479,1,25,0.05341434,0.00123132,0.02944023,0.00041378,4606.16518,5881283.77,452,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,23,0.06194441,0.00170495,0.03660457,0.00085332,5175.56629,18943202.4,977,0,10000,0,10000,1,0.754832,0,10000,0,0
0.81,0.95,1,102,1,24,0.11028012,0.004289,0.06994362,0.00158595,1532.1831,1090163.98,76,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,74,1,30,0.06347758,0.00122509,0.03322573,0.00031619,5779.6579,26645077.2,42,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,108,1,24,0.11504634,0.0056699,0.0705075,0.00230427,1872.28571,1452199.66,81,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,319,1,24,0.07619456,0.00636154,0.0469811,0.00338496,4140.09028,11976323.9,292,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,298,1,24,0.06274803,0.00176292,0.03606121,0.00075045,3841.46817,6228391.73,271,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,67,1,25,0.08224279,0.00158812,0.05147713,0.00078627,2585.63889,4744279.01,40,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,638,1,27,0.06390716,0.00187385,0.03563241,0.00077232,3593.34711,3755779.17,609,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,368,1,22,0.07258719,0.00190075,0.04042444,0.00070395,4208.66372,12564154.8,344,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,148,1,23,0.06872465,0.00193925,0.04229826,0.00097614,2905.51724,3296064.22,120,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,301,1,31,0.06786211,0.00187816,0.03703065,0.00052907,3296.04183,2958020.73,267,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,123,1,24,0.06117883,0.00338357,0.03403109,0.00088725,4015.26882,8613101.7,97,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,81,1,25,0.06833826,0.00161796,0.03704165,0.00057819,2602.5,2213279.33,54,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,271,1,27,0.06186232,0.00117242,0.03309584,0.00037901,4786.91983,14211220.4,241,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,63,1,26,0.10078507,0.0091502,0.0600163,0.00475858,4363.29032,17675435.4,35,0,10000,0,10000,0,10000,0,10000,0,0
0.81,0.95,1,274,1,24,0.0661113,0.00384348,0.0361593,0.00156245,4566.65574,8301083.71,248,0,10000,0,10000,0,10000,0,10000,0,0
