Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.95,0.8,0,10000,1,21,0.02827406,0.00031204,0.01226524,5.99E-05,7219.11282,7013847.93,979,0,10000,0,10000,1,0.766712,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02834316,0.000261,0.01216353,3.48E-05,7241.03186,6174862.09,977,0,10000,0,10000,1,0.697175,0,10000,0,0
0.95,0.8,0,10000,1,21,0.03006992,0.00029011,0.01289291,4.57E-05,7452.33846,10737632.1,979,0,10000,0,10000,1,0.839243,0,10000,0,0
0.95,0.8,0,10000,1,21,0.0284956,0.00029353,0.01223809,4.29E-05,7257.57128,7252699.67,979,0,10000,0,10000,1,0.826056,0,10000,0,0
0.95,0.8,0,10000,1,21,0.03064073,0.00030832,0.01310481,4.88E-05,7192.70256,7989437.68,979,0,10000,0,10000,1,0.75164,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02817535,0.00026518,0.01189729,3.22E-05,7036.5776,5703213.33,977,0,10000,0,10000,1,0.469079,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02962088,0.00035942,0.01246235,4.69E-05,7501.8193,8530644.15,978,0,10000,0,10000,1,0.786394,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02901526,0.00035211,0.01241052,4.12E-05,6991.09446,5796554.84,978,0,10000,0,10000,1,0.627865,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02854417,0.00031372,0.01190415,4.98E-05,7470.24846,7259097.35,978,0,10000,0,10000,1,0.849217,0,10000,0,0
0.95,0.8,0,10000,1,20,0.03000921,0.00046158,0.01235685,5.01E-05,7908.96209,12605670.7,980,0,10000,0,10000,1,0.765294,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02880198,0.00026479,0.01253824,4.19E-05,7477.83692,10806507.1,979,0,10000,0,10000,1,0.798328,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02869126,0.00031669,0.01241972,4.22E-05,7257.53751,7670886.31,977,0,10000,0,10000,1,0.803108,0,10000,0,0
0.95,0.8,0,10000,1,23,0.02861663,0.00025177,0.01179323,3.22E-05,7730.1223,6866385.06,977,0,10000,0,10000,1,0.620149,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02718613,0.0001903,0.01194967,3.32E-05,7115.04615,7168038.72,979,0,10000,0,10000,1,0.734782,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02710414,0.00025477,0.01121527,3.13E-05,7582.37026,9791142.75,979,0,10000,0,10000,1,0.776433,0,10000,0,0
0.95,0.8,0,10000,1,20,0.02733227,0.00027147,0.01168131,3.54E-05,7108.41393,5145677.89,980,0,10000,0,10000,1,0.755501,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02957307,0.00032944,0.01222308,5.83E-05,8063.45483,13389093.5,978,0,10000,0,10000,1,0.807259,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02832079,0.00027833,0.01210104,4.44E-05,7474.25333,8383784.5,979,0,10000,0,10000,1,0.851404,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02949383,0.00028329,0.01308441,7.92E-05,7134.75667,6976752.2,978,0,10000,0,10000,1,0.743189,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02927109,0.00025996,0.01246498,4.21E-05,7595.19487,11303555.9,979,0,10000,0,10000,1,0.790594,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02953995,0.00026287,0.01263752,3.70E-05,7766.42974,13551353.7,979,0,10000,0,10000,1,0.647174,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02677844,0.00021542,0.01123664,2.75E-05,7715.87897,9420906.64,979,0,10000,0,10000,1,0.741442,0,10000,0,0
0.95,0.8,0,10000,1,22,0.02991186,0.00031656,0.01228762,3.88E-05,7438.06674,6557739.19,978,0,10000,0,10000,1,0.57793,0,10000,0,0
0.95,0.8,0,10000,1,21,0.02755498,0.00021492,0.0122208,3.39E-05,7495.61641,13518030.6,979,0,10000,0,10000,1,0.416088,0,10000,0,0
