Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
6,0.01,0,10000,1,43,0.007874961,2.65E-06,0.004789495,9.58E-07,17784.13746,5546022.375,957,0,10000,0,10000,1,0.491332,0,10000,0,0
6,0.01,0,10000,1,54,0.00775923,2.49E-06,0.004741856,8.56E-07,17516.19214,3035741.242,946,0,10000,0,10000,1,0.482476,0,10000,0,0
6,0.01,0,10000,1,59,0.007549216,2.43E-06,0.004537232,7.81E-07,17748.66916,2758844.211,941,0,10000,0,10000,1,0.532192,0,10000,0,0
6,0.01,0,10000,1,43,0.007648238,2.43E-06,0.004658645,8.35E-07,18019.88248,5029605.107,957,0,10000,0,10000,1,0.480581,0,10000,0,0
6,0.01,0,10000,1,61,0.007346538,2.74E-06,0.004467429,1.02E-06,17479.67594,2212660.279,939,0,10000,0,10000,1,0.444285,0,10000,0,0
6,0.01,0,10000,1,56,0.007746388,3.25E-06,0.004696515,1.05E-06,17691.92979,2793255.618,944,0,10000,0,10000,1,0.485042,0,10000,0,0
6,0.01,0,10000,1,47,0.007613424,3.07E-06,0.004587345,1.02E-06,17906.53319,4797693.815,953,0,10000,0,10000,1,0.466968,0,10000,0,0
6,0.01,0,10000,1,58,0.007346152,1.90E-06,0.004459276,6.63E-07,17625.2484,2361253.98,942,0,10000,0,10000,1,0.481945,0,10000,0,0
6,0.01,0,10000,1,56,0.007613397,2.76E-06,0.004609672,9.33E-07,17614.54043,2635969.859,944,0,10000,0,10000,1,0.471816,0,10000,0,0
6,0.01,0,10000,1,56,0.007682522,2.74E-06,0.004674584,1.02E-06,17673.83617,3145272.869,944,0,10000,0,10000,1,0.507388,0,10000,0,0
6,0.01,0,10000,1,58,0.007582516,2.63E-06,0.004594255,9.80E-07,17756.95096,3211202.522,942,0,10000,0,10000,1,0.496143,0,10000,0,0
6,0.01,0,10000,1,61,0.007345468,2.70E-06,0.004473217,9.57E-07,17578.8984,3165566.188,939,0,10000,0,10000,1,0.47913,0,10000,0,0
6,0.01,0,10000,1,47,0.007542184,2.53E-06,0.004598875,8.40E-07,17725.13488,3698340.203,953,0,10000,0,10000,1,0.465631,0,10000,0,0
6,0.01,0,10000,1,56,0.007516498,2.54E-06,0.004534797,8.57E-07,17895.16489,3234097.98,944,0,10000,0,10000,1,0.529194,0,10000,0,0
6,0.01,0,10000,1,47,0.00768371,2.70E-06,0.004671502,8.55E-07,17744.65964,4013443.428,953,0,10000,0,10000,1,0.466228,0,10000,0,0
6,0.01,0,10000,1,53,0.007558509,2.77E-06,0.004584798,8.88E-07,17718.13362,2620091.815,947,0,10000,0,10000,1,0.482992,0,10000,0,0
6,0.01,0,10000,1,51,0.007633427,2.74E-06,0.004636061,9.91E-07,17737.11005,3466905.806,949,0,10000,0,10000,1,0.56044,0,10000,0,0
6,0.01,0,10000,1,59,0.007499965,2.59E-06,0.004540021,9.28E-07,17687.07791,2764240.889,941,0,10000,0,10000,1,0.491597,0,10000,0,0
6,0.01,0,10000,1,58,0.007628298,2.64E-06,0.004656586,8.21E-07,17676.371,3077547.683,942,0,10000,0,10000,1,0.538313,0,10000,0,0
6,0.01,0,10000,1,59,0.007651655,2.79E-06,0.004634156,9.80E-07,17511.73426,2833788.951,941,0,10000,0,10000,1,0.522624,0,10000,0,0
6,0.01,0,10000,1,42,0.007502287,2.55E-06,0.004545172,9.13E-07,17979.25472,6201762.026,958,0,10000,0,10000,1,0.451727,0,10000,0,0
6,0.01,0,10000,1,51,0.007851261,2.69E-06,0.004755681,1.00E-06,17865.95556,3374144.347,949,0,10000,0,10000,1,0.482993,0,10000,0,0
6,0.01,0,10000,1,64,0.007577732,2.31E-06,0.004585941,8.25E-07,17870.55472,3205709.708,936,0,10000,0,10000,1,0.515167,0,10000,0,0
6,0.01,0,10000,1,48,0.007332304,2.23E-06,0.00447509,7.82E-07,17668.1635,3599542.831,952,0,10000,0,10000,1,0.505463,0,10000,0,0
6,0.01,0,10000,1,62,0.00766049,2.81E-06,0.004624544,9.46E-07,17688.04711,3034257.837,938,0,10000,0,10000,1,0.429957,0,10000,0,0
6,0.01,0,10000,1,48,0.007454345,2.58E-06,0.004519956,8.34E-07,17763.95675,3103904.778,952,0,10000,0,10000,1,0.493062,0,10000,0,0
6,0.01,0,10000,1,59,0.007524455,2.39E-06,0.004546008,8.41E-07,17850.63394,3083156.324,941,0,10000,0,10000,1,0.481726,0,10000,0,0
6,0.01,0,10000,1,58,0.007649552,3.22E-06,0.004653809,1.02E-06,17622.78891,2980035.717,942,0,10000,0,10000,1,0.490403,0,10000,0,0
6,0.01,0,10000,1,59,0.007464847,2.50E-06,0.004519123,8.13E-07,17787.09285,2826800.097,941,0,10000,0,10000,1,0.492554,0,10000,0,0
6,0.01,0,10000,1,51,0.007792577,3.67E-06,0.004723111,1.27E-06,17584.7164,3693904.669,949,0,10000,0,10000,1,0.502691,0,10000,0,0
6,0.01,0,10000,1,62,0.007339181,2.49E-06,0.004450594,8.83E-07,17749.3212,3464864.488,938,0,10000,0,10000,1,0.488344,0,10000,0,0
6,0.01,0,10000,1,59,0.007739207,2.77E-06,0.004657218,9.37E-07,17892.92529,3167143.126,941,0,10000,0,10000,1,0.524593,0,10000,0,0
6,0.01,0,10000,1,51,0.007590659,2.55E-06,0.004609033,9.00E-07,17684.80952,3783735.845,949,0,10000,0,10000,1,0.470288,0,10000,0,0
6,0.01,0,10000,1,51,0.00750491,2.68E-06,0.00455275,9.05E-07,17617.72169,3201952.633,949,0,10000,0,10000,1,0.46659,0,10000,0,0
6,0.01,0,10000,1,48,0.00777775,2.40E-06,0.004689871,7.38E-07,17771.6403,3675145.827,952,0,10000,0,10000,1,0.486736,0,10000,0,0
6,0.01,0,10000,1,51,0.007401488,2.73E-06,0.004487221,9.16E-07,17796.3291,3505566.058,949,0,10000,0,10000,1,0.483008,0,10000,0,0
6,0.01,0,10000,1,54,0.007624581,2.51E-06,0.004669512,9.66E-07,17727.59873,4282179.841,946,0,10000,0,10000,1,0.44835,0,10000,0,0
6,0.01,0,10000,1,47,0.007635624,3.15E-06,0.004605182,1.01E-06,17794.53003,4055086.306,953,0,10000,0,10000,1,0.512101,0,10000,0,0
6,0.0125,0,10000,1,46,0.012944585,8.00E-06,0.00729735,2.28E-06,14521.54526,3064391.145,954,0,10000,0,10000,1,0.591373,0,10000,0,0
6,0.0125,0,10000,1,47,0.013518791,8.93E-06,0.00760567,2.88E-06,14648.96207,4112000.479,953,0,10000,0,10000,1,0.562973,0,10000,0,0
6,0.0125,0,10000,1,46,0.01330947,1.13E-05,0.007430019,3.10E-06,14496.66316,4076802.967,954,0,10000,0,10000,1,0.64316,0,10000,0,0
6,0.0125,0,10000,1,49,0.013518988,1.15E-05,0.007515612,3.45E-06,14624.94192,4237321.987,951,0,10000,0,10000,1,0.612104,0,10000,0,0
6,0.0125,0,10000,1,41,0.013719879,1.12E-05,0.007758328,3.20E-06,14455.58325,4367350.45,959,0,10000,0,10000,1,0.558417,0,10000,0,0
6,0.0125,0,10000,1,42,0.013279866,7.80E-06,0.007419895,2.23E-06,14587.413,3545504.366,958,0,10000,0,10000,1,0.595848,0,10000,0,0
6,0.0125,0,10000,1,52,0.014051433,1.20E-05,0.007832217,3.24E-06,14536.79661,4926857.452,948,0,10000,0,10000,1,0.553484,0,10000,0,0
6,0.0125,0,10000,1,48,0.014106351,1.05E-05,0.00791987,2.98E-06,14515.19409,4111696.393,952,0,10000,0,10000,1,0.565368,0,10000,0,0
6,0.0125,0,10000,1,37,0.013651336,1.16E-05,0.007607049,3.31E-06,14733.62148,5378477.893,963,0,10000,0,10000,1,0.572197,0,10000,0,0
6,0.0125,0,10000,1,48,0.013039925,1.05E-05,0.0073891,3.23E-06,14259.38502,4059921.644,952,0,10000,0,10000,1,0.540317,0,10000,0,0
6,0.0125,0,10000,1,53,0.013333987,1.06E-05,0.007527394,2.84E-06,14537.81972,3927145.84,947,0,10000,0,10000,1,0.542526,0,10000,0,0
6,0.0125,0,10000,1,45,0.013154956,9.61E-06,0.007547773,3.10E-06,14345.12723,3693658.096,955,0,10000,0,10000,1,0.554997,0,10000,0,0
6,0.0125,0,10000,1,47,0.013309791,8.02E-06,0.007476655,2.06E-06,14364.86723,2447198.722,953,0,10000,0,10000,1,0.534398,0,10000,0,0
6,0.0125,0,10000,1,50,0.013135268,9.22E-06,0.007361261,2.42E-06,14499.13425,3248568.402,950,0,10000,0,10000,1,0.604549,0,10000,0,0
6,0.0125,0,10000,1,47,0.013437023,9.65E-06,0.007594933,3.07E-06,14579.08957,3429752.155,953,0,10000,0,10000,1,0.445679,0,10000,0,0
6,0.0125,0,10000,1,45,0.013151628,8.24E-06,0.007442326,2.46E-06,14362.56887,3538138.786,955,0,10000,0,10000,1,0.57993,0,10000,0,0
6,0.0125,0,10000,1,50,0.013508078,9.49E-06,0.007608446,2.88E-06,14402.49894,3769684.812,950,0,10000,0,10000,1,0.566336,0,10000,0,0
6,0.0125,0,10000,1,46,0.013361625,1.02E-05,0.007457151,2.65E-06,14426.85158,3409463.276,954,0,10000,0,10000,1,0.601541,0,10000,0,0
6,0.0125,0,10000,1,47,0.013212555,9.48E-06,0.007438605,2.96E-06,14430.02845,4570562.152,953,0,10000,0,10000,1,0.552918,0,10000,0,0
6,0.0125,0,10000,1,39,0.013016439,8.97E-06,0.007231112,2.32E-06,14678.02926,3647678.432,961,0,10000,0,10000,1,0.571933,0,10000,0,0
6,0.0125,0,10000,1,42,0.013092688,8.94E-06,0.007351497,2.78E-06,14409.2044,3649542.156,958,0,10000,0,10000,1,0.540913,0,10000,0,0
6,0.0125,0,10000,1,49,0.012914075,9.11E-06,0.007225732,2.54E-06,14599.84372,3548502.668,951,0,10000,0,10000,1,0.630601,0,10000,0,0
