Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-0.8,0,0,10000,1,22,0.03959045,0.00028289,0.01926183,6.14E-05,6519.45585,8087190.14,978,0,10000,0,10000,1,0.792538,0,10000,0,0
-0.8,0,0,10000,1,24,0.04224346,0.00034308,0.02081364,6.92E-05,6222.3858,5691892.2,976,0,10000,0,10000,1,0.770636,0,10000,0,0
-0.7,0,0,10000,1,22,0.04639833,0.00046447,0.0231792,0.00010452,6018.93327,5666829.7,978,0,10000,0,10000,1,0.692381,0,10000,0,0
-0.7,0,0,10000,1,21,0.044363,0.00038873,0.02214764,0.00010235,5771.26974,4914583.76,979,0,10000,0,10000,1,0.73352,0,10000,0,0
-0.7,0,0,10000,1,24,0.04408208,0.00042078,0.02262352,0.00011966,6137.27366,7266260.59,976,0,10000,0,10000,1,0.854638,0,10000,0,0
-0.7,0,0,10000,1,22,0.04444289,0.00040034,0.02273821,9.98E-05,6025.45996,6946578.91,978,0,10000,0,10000,1,0.77222,0,10000,0,0
-0.7,0,0,10000,1,20,0.04483414,0.00042347,0.0225997,9.99E-05,5986.35963,5673738.3,980,0,10000,0,10000,1,0.679164,0,10000,0,0
-0.7,0,0,10000,1,22,0.04230345,0.00035636,0.02113525,9.28E-05,6445.63347,9760356.13,978,0,10000,0,10000,1,0.698127,0,10000,0,0
-0.7,0,0,10000,1,21,0.0430261,0.00035036,0.02160219,7.84E-05,6183.82359,8055481.6,979,0,10000,0,10000,1,0.798493,0,10000,0,0
-0.7,0,0,10000,1,24,0.04362583,0.0004407,0.0222823,0.00012375,5879.8786,5248521.93,976,0,10000,0,10000,1,0.613865,0,10000,0,0
-0.7,0,0,10000,1,23,0.04426433,0.00062865,0.02237702,0.00016847,6214.60123,7887303.65,977,0,10000,0,10000,1,0.825377,0,10000,0,0
-0.7,0,0,10000,1,25,0.04343296,0.00036492,0.02193402,8.24E-05,6203.61586,7493700.4,975,0,10000,0,10000,1,0.870968,0,10000,0,0
-0.7,0,0,10000,1,26,0.04397581,0.00040679,0.02170972,8.52E-05,6194.45052,6397583.1,974,0,10000,0,10000,1,0.814239,0,10000,0,0
-0.7,0,0,10000,1,23,0.04638017,0.00054062,0.02395581,0.00018227,6259.54779,9333433.41,977,0,10000,0,10000,1,0.795537,0,10000,0,0
