Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.95,0.8,0,10000,1,22,0.01708556,9.05E-05,0.00726885,9.77E-06,10780.5164,6742556.95,978,0,10000,0,10000,1,0.702899,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01608065,6.84E-05,0.00710378,9.09E-06,10886.5431,7925918.05,978,0,10000,0,10000,1,0.716545,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01537253,5.57E-05,0.00685512,7.57E-06,10784.1562,7303156.49,977,0,10000,0,10000,1,0.677181,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01675577,8.57E-05,0.00724309,9.87E-06,10802.5226,8083501.81,978,0,10000,0,10000,1,0.661176,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01643958,6.90E-05,0.00711055,8.62E-06,10854.2441,8765239.69,979,0,10000,0,10000,1,0.474156,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01720336,8.59E-05,0.00737005,1.03E-05,10661.52,6240820.68,979,0,10000,0,10000,1,0.703293,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01694514,6.99E-05,0.00727064,7.92E-06,10882.6978,7768559.22,977,0,10000,0,10000,1,0.734714,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01707809,6.45E-05,0.00742148,8.58E-06,10889.4359,7630314.68,979,0,10000,0,10000,1,0.645655,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01715489,8.64E-05,0.00720926,9.96E-06,11129.1856,10323667.7,979,0,10000,0,10000,1,0.718537,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01774203,7.89E-05,0.0074909,9.24E-06,10859.9897,7836680.36,977,0,10000,0,10000,1,0.69561,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01593157,5.49E-05,0.00719419,8.65E-06,10750.5785,9213263.63,979,0,10000,0,10000,1,0.734146,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01580595,6.08E-05,0.00716604,1.03E-05,10873.3364,12048012.6,979,0,10000,0,10000,1,0.686893,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01676486,7.88E-05,0.0071887,1.04E-05,11010.3467,7730585.16,979,0,10000,0,10000,1,0.734354,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01645171,6.44E-05,0.00710569,7.81E-06,11024.1499,7821728.19,978,0,10000,0,10000,1,0.655904,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01753007,8.66E-05,0.00756127,1.13E-05,10927.3179,9198547.17,979,0,10000,0,10000,1,0.749259,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01698002,8.18E-05,0.0070907,8.29E-06,10888.9815,7655677.26,978,0,10000,0,10000,1,0.660341,0,10000,0,0
0.95,0.8,0,10000,1,20,0.01725491,8.68E-05,0.00740195,1.02E-05,10709.6834,8625942.57,980,0,10000,0,10000,1,0.666441,0,10000,0,0
0.95,0.8,0,10000,1,25,0.01732515,8.90E-05,0.00748884,1.04E-05,10809.4912,8894174.28,975,0,10000,0,10000,1,0.684872,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01646916,6.75E-05,0.00712434,8.56E-06,10925.9036,8301473.61,979,0,10000,0,10000,1,0.641462,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01712738,8.93E-05,0.00727465,1.07E-05,10807.6294,7478064.89,978,0,10000,0,10000,1,0.697977,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01786155,0.00010506,0.00778779,1.41E-05,10740.6201,8656467.69,978,0,10000,0,10000,1,0.66292,0,10000,0,0
0.95,0.8,0,10000,1,20,0.01748569,9.55E-05,0.0075149,1.21E-05,10948.7633,8538296.81,980,0,10000,0,10000,1,0.75239,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01708262,9.14E-05,0.00724762,1.23E-05,11001.6961,7703550.14,978,0,10000,0,10000,1,0.71415,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01811227,0.00010342,0.00746976,1.03E-05,10989.8144,7341165.53,979,0,10000,0,10000,1,0.716051,0,10000,0,0
0.95,0.8,0,10000,1,24,0.0178368,8.56E-05,0.0076728,1.18E-05,10782.2521,8447729.77,976,0,10000,0,10000,1,0.738247,0,10000,0,0
0.95,0.8,0,10000,1,21,0.01742057,9.32E-05,0.00738065,9.70E-06,10698.5682,7982608.19,979,0,10000,0,10000,1,0.723399,0,10000,0,0
0.95,0.8,0,10000,1,22,0.01733662,9.72E-05,0.00743391,1.06E-05,10773.5318,6719732.65,978,0,10000,0,10000,1,0.729038,0,10000,0,0
0.95,0.8,0,10000,1,23,0.01662272,7.75E-05,0.00716287,8.20E-06,10929.1922,7398431.82,977,0,10000,0,10000,1,0.621343,0,10000,0,0
