Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
0.8,0.95,1,278,1,27,0.055299614,0.001321073,0.025746282,0.000312425,7000.118367,32618111.21,249,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,225,1,25,0.101986714,0.006604412,0.058173609,0.003499002,7226.536082,57748929.61,198,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,110,1,25,0.068825819,0.001605168,0.031223409,0.000569118,7104.924051,11234998.7,83,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,26,0.12184129,0.013161418,0.061206786,0.001689292,3863.571429,6024028.245,25,1,51,0,10000,0,10000,0,10000,1,0
0.8,0.95,1,44,1,22,0.12635274,0.00598718,0.078976767,0.002493671,2404,2395546.933,19,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,35,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,30,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,31,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,47,1,23,0.199925806,0.008291156,0.100613018,0.001536955,1807.352941,908366.346,21,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,31,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,487,1,28,0.08217311,0.00405325,0.04253607,0.00237887,6975.81236,35212600.4,457,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,25,0.09890877,0.01934787,0.04429223,0.00300101,5635.8972,15180548,111,1,136,0,10000,0,10000,0,10000,1,0
0.8,0.95,1,212,1,22,0.06865883,0.00188698,0.03360439,0.00053213,6755.13661,28345798.9,187,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,28,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,45,1,23,0.14537067,0.00067466,0.08521915,0.00038261,1239.06667,70767.5289,19,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,26,0.07854626,0.00381706,0.04542476,0.00249235,5159.87143,17394084.3,74,1,100,0,10000,0,10000,0,10000,1,0
0.8,0.95,1,55,1,26,0.1824172,0.019159,0.08703198,0.00320755,2063.09091,1625165.36,26,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,29,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,30,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,96,1,23,0.07856002,0.00284381,0.03992113,0.00107516,9994.86364,64024762.4,70,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,37,1,25,0.1925234,0.00388005,0.10383184,0.00052992,814.8,42698.96,9,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,37,1,29,0.255026,0,0.149562,0,585,0,5,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,1,115,1,25,0.09218525,0.00329543,0.05232159,0.00146381,7020.62651,66379301.7,87,0,10000,0,10000,0,10000,0,10000,0,0
0.8,0.95,0,10000,1,21,0.07557559,0.00277059,0.03945005,0.00124376,6186.12205,28540520.6,979,0,10000,0,10000,1,0.647532,0,10000,0,0
0.8,0.95,1,30,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
