Avoidance Factor,Fecundity Penalty,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
-1,0,0,10000,1,21,0.0406965,0.00041958,0.0160697,6.42E-05,10974.5897,24494044.8,979,0,10000,0,10000,1,0.641466,0,10000,0,0
-1,0,0,10000,1,20,0.04018572,0.00035705,0.01639083,7.42E-05,10589.3012,18295562.9,980,0,10000,0,10000,1,0.622896,0,10000,0,0
-1,0,0,10000,1,23,0.04092921,0.00041079,0.01674075,7.90E-05,10309.4738,21589160.1,977,0,10000,0,10000,1,0.599499,0,10000,0,0
-1,0,0,10000,1,19,0.04137544,0.00046622,0.01665784,8.10E-05,11047.1556,27012162.3,981,0,10000,0,10000,1,0.547312,0,10000,0,0
-1,0,0,10000,1,20,0.03937416,0.00038767,0.01599435,5.78E-05,10654.7213,23580575.3,980,0,10000,0,10000,1,0.789041,0,10000,0,0
-1,0,0,10000,1,20,0.0438636,0.00066973,0.01897165,0.0001824,10209.3873,22645259.4,980,0,10000,0,10000,1,0.799389,0,10000,0,0
-1,0,0,10000,1,20,0.03833843,0.00033251,0.01535068,5.40E-05,11632.9857,32338407.5,980,0,10000,0,10000,1,0.751618,0,10000,0,0
-1,0,0,10000,1,21,0.03886796,0.00035209,0.01614564,6.77E-05,11145.758,27904806.8,979,0,10000,0,10000,1,0.586397,0,10000,0,0
-1,0,0,10000,1,20,0.04013371,0.00043251,0.0164247,7.21E-05,10592.7469,26973901.5,980,0,10000,0,10000,1,0.701804,0,10000,0,0
-1,0,0,10000,1,20,0.04115544,0.00059983,0.01748382,0.00023574,10926.4539,27655561.3,980,0,10000,0,10000,1,0.247482,0,10000,0,0
-1,0,0,10000,1,23,0.03994769,0.00039502,0.01606538,6.38E-05,11173.4132,27853525.3,977,0,10000,0,10000,1,0.764094,0,10000,0,0
-1,0,0,10000,1,22,0.04177834,0.00050969,0.0164315,7.34E-05,11426.7177,30643005.7,978,0,10000,0,10000,1,0.707727,0,10000,0,0
-1,0,0,10000,1,22,0.03836362,0.00039157,0.01611755,7.85E-05,11215.4548,31670635.6,978,0,10000,0,10000,1,0.39075,0,10000,0,0
-1,0,0,10000,1,22,0.03984845,0.00041925,0.01646415,7.93E-05,11216.8994,28593275.4,978,0,10000,0,10000,1,0.683414,0,10000,0,0
-1,0,0,10000,1,21,0.04011473,0.00033232,0.01682765,6.69E-05,10863.6821,29612598.9,979,0,10000,0,10000,1,0.358122,0,10000,0,0
-1,0,0,10000,1,22,0.03935559,0.00039728,0.01586641,6.86E-05,11556.2526,31660426.4,978,0,10000,0,10000,1,0.520037,0,10000,0,0
-1,0,0,10000,1,20,0.03974081,0.00036699,0.01580621,6.12E-05,11074.4621,23986787.8,980,0,10000,0,10000,1,0.728331,0,10000,0,0
-1,0,0,10000,1,21,0.04103986,0.00047247,0.01670641,7.65E-05,11138.2759,30713986.3,979,0,10000,0,10000,1,0.211006,0,10000,0,0
-1,0,0,10000,1,19,0.03746679,0.00038694,0.0151713,5.97E-05,11001.1607,33233060.9,981,0,10000,0,10000,1,0.846504,0,10000,0,0
-1,0,0,10000,1,21,0.03891785,0.00042274,0.01581059,6.16E-05,11198.92,30614056.8,979,0,10000,0,10000,1,0.775646,0,10000,0,0
-1,0,0,10000,1,21,0.04122008,0.00044415,0.01651488,6.62E-05,11115.7723,25568901.5,979,0,10000,0,10000,1,0.677041,0,10000,0,0
-1,0,0,10000,1,21,0.03950936,0.00042353,0.01668334,8.23E-05,10803.9159,27083025.6,979,0,10000,0,10000,1,0.468473,0,10000,0,0
-1,0,0,10000,1,22,0.0402157,0.00041372,0.01654942,6.48E-05,10921.1776,29845077.2,978,0,10000,0,10000,1,0.335495,0,10000,0,0
-1,0,0,10000,1,19,0.04000326,0.00032406,0.01650644,6.22E-05,11126.7114,24927172.7,981,0,10000,0,10000,1,0.495317,0,10000,0,0
-1,0,0,10000,1,23,0.04270018,0.00039282,0.01763461,8.05E-05,10674.5663,20873024.3,977,0,10000,0,10000,1,0.76646,0,10000,0,0
-1,0,0,10000,1,20,0.04119187,0.00048482,0.01645152,6.15E-05,11120.7705,29507624.3,980,0,10000,0,10000,1,0.603976,0,10000,0,0
-1,0,0,10000,1,21,0.03977913,0.00036042,0.01598852,6.06E-05,11071.1456,26773378,979,0,10000,0,10000,1,0.865327,0,10000,0,0
-1,0,0,10000,1,21,0.04038907,0.00062441,0.01737737,0.00018348,11439.6031,42131529.3,979,0,10000,0,10000,1,0.660279,0,10000,0,0
-1,0,0,10000,1,22,0.03966469,0.00038347,0.0163183,6.46E-05,10628.9004,25009699.1,978,0,10000,0,10000,1,0.455663,0,10000,0,0
-1,0,0,10000,1,21,0.03969832,0.00041232,0.01625443,7.60E-05,11927.4246,43163247.2,979,0,10000,0,10000,1,0.69783,0,10000,0,0
-1,0,0,10000,1,22,0.04038219,0.00039579,0.01606241,6.12E-05,11051.3789,24701897.1,978,0,10000,0,10000,1,0.720662,0,10000,0,0
-1,0,0,10000,1,22,0.04061214,0.00036066,0.01615827,5.16E-05,10499.1335,18424975.3,978,0,10000,0,10000,1,0.783508,0,10000,0,0
-1,0,0,10000,1,24,0.04039256,0.00042594,0.01685545,7.59E-05,11902.0206,40109421.7,976,0,10000,0,10000,1,0.70258,0,10000,0,0
-1,0,0,10000,1,20,0.04070742,0.00043436,0.01661291,9.00E-05,10826.9355,23996523.5,980,0,10000,0,10000,1,0.88051,0,10000,0,0
-1,0,0,10000,1,22,0.03658997,0.00031489,0.01481493,4.53E-05,10287.6058,20775045.1,978,0,10000,0,10000,1,0.693642,0,10000,0,0
-1,0,0,10000,1,22,0.04018179,0.00035986,0.01626826,6.11E-05,11261.5965,28464178.7,978,0,10000,0,10000,1,0.780623,0,10000,0,0
-1,0,0,10000,1,21,0.03961459,0.00038339,0.01543089,4.79E-05,12035.4933,36285786.9,979,0,10000,0,10000,1,0.764537,0,10000,0,0
-1,0,0,10000,1,21,0.04079372,0.00039298,0.01614647,6.04E-05,11169.1436,24221910.4,979,0,10000,0,10000,1,0.750477,0,10000,0,0
-1,0,0,10000,1,23,0.04034945,0.00038087,0.016687,7.15E-05,11302.8212,31454766.1,977,0,10000,0,10000,1,0.788088,0,10000,0,0
-1,0,0,10000,1,21,0.04016517,0.00045856,0.01649672,8.98E-05,11728.1497,35242770.7,979,0,10000,0,10000,1,0.711519,0,10000,0,0
-1,0,0,10000,1,20,0.04332945,0.00048368,0.01728249,7.70E-05,11019.334,25851575.4,980,0,10000,0,10000,1,0.553592,0,10000,0,0
