,Low-Density Growth Rate,Migration Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
852,3,0.01,1,532,1,92,0.116429455,0.015296315,0.083984592,0.007569751,6524.369515,22306961.37,437,0,10000,0,10000,0,10000,0,10000,0,0
853,3,0.01,1,257,1,87,0.190251248,0.048462058,0.146356604,0.033810308,4282.631902,2461591.349,167,0,10000,0,10000,0,10000,0,10000,0,0
854,3,0.01,0,10000,1,96,0.072955231,0.003006386,0.056613629,0.00190498,12016.82667,88873776.7,904,0,10000,0,10000,1,0.355396,0,10000,0,0
855,3,0.01,0,10000,1,91,0.091762743,0.005409279,0.070192539,0.00343958,10773.29945,124173658.1,909,0,10000,0,10000,1,0.231968,0,10000,0,0
856,3,0.01,0,10000,1,84,0.234849187,0.033421405,0.193020621,0.024690012,3862.399621,16358291.42,532,1,616,0,10000,0,10000,0,10000,1,0
857,3,0.01,0,10000,1,82,0.058898857,4.40E-05,0.0485647,6.12E-06,9349.714286,647628.3469,18,1,100,0,10000,0,10000,0,10000,1,0
858,3,0.01,0,10000,1,89,0.070548855,0.002876067,0.05463723,0.001627487,13585.83242,110307137.7,368,1,457,0,10000,0,10000,0,10000,1,0
859,3,0.01,1,114,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
860,3,0.01,0,10000,1,86,0.117933866,0.02786016,0.094256969,0.01935375,11622.93956,107270052.2,914,0,10000,0,10000,1,0.330857,0,10000,0,0
1261,3.5,0.01,1,107,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
1262,3.5,0.01,0,10000,1,85,0.077221703,0.003999036,0.056650395,0.002313112,9467.169045,35578323.07,915,0,10000,0,10000,1,0.312576,0,10000,0,0
1263,3.5,0.01,0,10000,1,91,0.31725412,0.00676292,0.27351752,0.00308647,1403.52,903053.8496,29,1,120,0,10000,0,10000,0,10000,1,0
1264,3.5,0.01,0,10000,1,89,0.068501796,0.002582219,0.048406146,0.001532585,9018.453142,14219119.54,911,0,10000,0,10000,1,0.146822,0,10000,0,0
1265,3.5,0.01,0,10000,1,97,0.062905876,0.00182898,0.044306156,0.000815292,10367.0178,43882608.7,903,0,10000,0,10000,1,0.287764,0,10000,0,0
1266,3.5,0.01,1,511,1,95,0.071160432,0.007815222,0.050478171,0.00302335,14253.69608,171082450.3,412,0,10000,0,10000,0,10000,0,10000,0,0
1267,3.5,0.01,0,10000,1,87,0.097964163,0.007685343,0.072973141,0.004819573,8048.635864,26408005.09,913,0,10000,0,10000,1,0.429156,0,10000,0,0
1268,3.5,0.01,1,994,1,87,0.101257436,0.006578492,0.073226588,0.003762144,7574.880846,22458738.17,902,0,10000,0,10000,0,10000,0,10000,0,0
1269,3.5,0.01,0,10000,1,98,0.034675625,0.000448732,0.024983959,0.000219778,17748.40535,87567516.7,902,0,10000,0,10000,1,0.365583,0,10000,0,0
1270,3.5,0.01,1,209,1,90,0.251422646,0.052637375,0.188041739,0.031009436,1967.936937,1067210.96,115,0,10000,0,10000,0,10000,0,10000,0,0
1271,3.5,0.01,0,10000,1,91,0.3011835,0.002566155,0.1872999,0.001293378,1288.1,30846.49,14,1,105,0,10000,0,10000,0,10000,1,0
1272,3.5,0.01,1,115,0,10000,10000,10000,10000,10000,1.00E+06,1.00E+06,10000,0,10000,0,10000,0,10000,0,10000,0,0
1273,3.5,0.01,1,235,1,89,0.107444317,0.033153548,0.075593635,0.015237464,14230.58273,69432522.14,143,0,10000,0,10000,0,10000,0,10000,0,0
1274,3.5,0.01,0,10000,1,88,0.08123686,0.004669527,0.058033956,0.002160696,8642.294053,34472777.5,912,0,10000,0,10000,1,0.341833,0,10000,0,0
1275,3.5,0.01,0,10000,1,85,0.058238245,0.00139429,0.041242297,0.000709631,10842.809,30410278.29,915,0,10000,0,10000,1,0.479371,0,10000,0,0
1276,3.5,0.01,0,10000,1,84,0.089623361,0.00756817,0.066144852,0.004434604,8194.95943,21077546.42,916,0,10000,0,10000,1,0.162428,0,10000,0,0
1277,3.5,0.01,1,187,1,88,0.306920647,0.040141048,0.248409588,0.029897235,1183.879121,1474999.337,95,0,10000,0,10000,0,10000,0,10000,0,0
1278,3.5,0.01,0,10000,1,100,0.054751715,0.001205459,0.039370682,0.000546966,12109.55134,59785112.69,900,0,10000,0,10000,1,0.237882,0,10000,0,0
1279,3.5,0.01,0,10000,1,91,0.060634598,0.001727632,0.042610829,0.000872301,10256.69834,35673735.28,909,0,10000,0,10000,1,0.373869,0,10000,0,0
1280,3.5,0.01,0,10000,1,95,0.063998965,0.002614119,0.046546448,0.001650282,10836.70699,34176913.43,905,0,10000,0,10000,1,0.282367,0,10000,0,0
1681,4,0.01,0,10000,1,92,0.052593852,0.000845032,0.035425221,0.000392236,10848.09403,18933965.37,908,0,10000,0,10000,1,0.290285,0,10000,0,0
1682,4,0.01,1,924,1,88,0.061576633,0.008236943,0.041999766,0.003975368,12281.99517,26888253.72,832,0,10000,0,10000,0,10000,0,10000,0,0
1683,4,0.01,0,10000,1,82,0.060463733,0.001005093,0.040773345,0.000472302,9770.292123,22111564.79,918,0,10000,0,10000,1,0.471035,0,10000,0,0
1684,4,0.01,0,10000,1,85,0.054913648,0.000810422,0.036699013,0.000389899,9766.918771,15181330.07,915,0,10000,0,10000,1,0.271846,0,10000,0,0
1685,4,0.01,0,10000,1,81,0.079309096,0.008192264,0.056712565,0.004789752,10571.56066,52255824.65,919,0,10000,0,10000,1,0.245363,0,10000,0,0
1686,4,0.01,0,10000,1,81,0.062204425,0.002417611,0.045674562,0.00146629,11024.68321,21354112.91,266,1,347,0,10000,0,10000,0,10000,1,0
1687,4,0.01,0,10000,1,89,0.064376657,0.001198357,0.043788885,0.000673284,8444.214994,13368939.17,911,0,10000,0,10000,1,0.373304,0,10000,0,0
