,Fitness,Drive Efficiency,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase
851,0.82,0.8,0,10000,1,23,0.012012623,4.28E-05,0.004677215,3.78E-06,9668.261048,3456528.006,977,0,10000,0,10000,1,0.782443,0,10000,0,0
852,0.82,0.8,0,10000,1,23,0.012315095,5.07E-05,0.004723482,3.99E-06,9589.396711,3582656.011,977,0,10000,0,10000,1,0.772896,0,10000,0,0
853,0.82,0.8,0,10000,1,24,0.013119578,5.84E-05,0.005402802,7.51E-06,9245.871399,3920369.164,976,0,10000,0,10000,1,0.760631,0,10000,0,0
854,0.82,0.8,0,10000,1,23,0.01159676,3.18E-05,0.004698778,4.21E-06,9453.215827,3746891.921,977,0,10000,0,10000,1,0.746148,0,10000,0,0
855,0.82,0.8,0,10000,1,23,0.013004948,6.29E-05,0.004910621,4.19E-06,9788.47482,3080633.113,977,0,10000,0,10000,1,0.76901,0,10000,0,0
856,0.82,0.8,0,10000,1,24,0.012122682,5.63E-05,0.004598672,3.45E-06,9778.558642,3989965.154,976,0,10000,0,10000,1,0.797069,0,10000,0,0
857,0.82,0.8,0,10000,1,23,0.011978487,3.51E-05,0.004688519,3.63E-06,9561.57554,2688817.309,977,0,10000,0,10000,1,0.7882,0,10000,0,0
858,0.82,0.8,0,10000,1,23,0.011486702,3.47E-05,0.004511771,3.02E-06,9561.048304,2916048.872,977,0,10000,0,10000,1,0.793469,0,10000,0,0
859,0.82,0.8,0,10000,1,23,0.012644708,5.37E-05,0.005005143,6.22E-06,9547.734841,4447692.176,977,0,10000,0,10000,1,0.736133,0,10000,0,0
860,0.82,0.8,0,10000,1,23,0.013252011,6.87E-05,0.004873008,4.90E-06,9666.320658,3641639.784,977,0,10000,0,10000,1,0.795189,0,10000,0,0
1261,0.83,0.8,0,10000,1,24,0.01261458,3.52E-05,0.005216834,4.86E-06,9182.90535,3859076.734,976,0,10000,0,10000,1,0.781676,0,10000,0,0
1262,0.83,0.8,0,10000,1,23,0.013818515,5.60E-05,0.005469623,4.41E-06,9084.621788,2910925.205,977,0,10000,0,10000,1,0.735538,0,10000,0,0
1263,0.83,0.8,0,10000,1,23,0.013596261,4.68E-05,0.005426189,4.92E-06,9110.802672,3606078.584,977,0,10000,0,10000,1,0.732013,0,10000,0,0
1264,0.83,0.8,0,10000,1,23,0.013949333,6.91E-05,0.005530834,7.49E-06,9304.373073,4821542.187,977,0,10000,0,10000,1,0.79464,0,10000,0,0
1265,0.83,0.8,0,10000,1,25,0.012809923,5.08E-05,0.00515732,5.34E-06,9168.348095,3743724.697,975,0,10000,0,10000,1,0.74897,0,10000,0,0
1266,0.83,0.8,0,10000,1,22,0.013393547,6.71E-05,0.005330722,5.86E-06,9146.510267,3895611.268,978,0,10000,0,10000,1,0.800027,0,10000,0,0
1267,0.83,0.8,0,10000,1,21,0.013484912,7.19E-05,0.005267453,6.87E-06,9413.433846,4189394.274,979,0,10000,0,10000,1,0.814838,0,10000,0,0
1268,0.83,0.8,0,10000,1,24,0.013518824,5.27E-05,0.005555246,7.44E-06,9129.421811,3632953.657,976,0,10000,0,10000,1,0.769781,0,10000,0,0
1269,0.83,0.8,0,10000,1,22,0.013235122,5.40E-05,0.005318055,6.16E-06,9316.986653,3709069.545,978,0,10000,0,10000,1,0.751545,0,10000,0,0
1270,0.83,0.8,0,10000,1,25,0.013272426,5.25E-05,0.005511124,5.70E-06,9034.094748,3398059.631,975,0,10000,0,10000,1,0.789652,0,10000,0,0
1271,0.83,0.8,0,10000,1,23,0.013603487,7.34E-05,0.005200996,6.57E-06,9504.739979,4505617.582,977,0,10000,0,10000,1,0.764627,0,10000,0,0
1272,0.83,0.8,0,10000,1,23,0.014847893,9.23E-05,0.005648208,6.88E-06,9257.225077,4126661.646,977,0,10000,0,10000,1,0.727971,0,10000,0,0
1273,0.83,0.8,0,10000,1,22,0.013442879,6.18E-05,0.005226581,5.31E-06,9376.789528,3469324.963,978,0,10000,0,10000,1,0.78325,0,10000,0,0
1274,0.83,0.8,0,10000,1,22,0.012662679,4.88E-05,0.005079541,5.56E-06,9190.14271,3258042.734,978,0,10000,0,10000,1,0.832037,0,10000,0,0
1275,0.83,0.8,0,10000,1,23,0.012654012,4.15E-05,0.005174457,4.73E-06,9101.899281,3002090.126,977,0,10000,0,10000,1,0.780475,0,10000,0,0
1276,0.83,0.8,0,10000,1,23,0.012517368,6.02E-05,0.005033792,5.02E-06,9326.581706,3145308.868,977,0,10000,0,10000,1,0.799271,0,10000,0,0
1277,0.83,0.8,0,10000,1,23,0.012803943,8.46E-05,0.005052298,5.94E-06,9302.071942,3097551.75,977,0,10000,0,10000,1,0.783407,0,10000,0,0
1278,0.83,0.8,0,10000,1,24,0.013830709,7.63E-05,0.005175616,5.39E-06,9433.191358,2790929.081,976,0,10000,0,10000,1,0.770782,0,10000,0,0
1279,0.83,0.8,0,10000,1,24,0.014959486,8.47E-05,0.005888806,8.35E-06,9166.368313,4033273.399,976,0,10000,0,10000,1,0.690499,0,10000,0,0
1280,0.83,0.8,0,10000,1,24,0.013488828,6.06E-05,0.005378913,5.68E-06,9389.906379,5909216.478,976,0,10000,0,10000,1,0.757024,0,10000,0,0
1681,0.84,0.8,0,10000,1,23,0.015116377,7.67E-05,0.005969715,8.85E-06,9194.018499,4912858.037,977,0,10000,0,10000,1,0.651505,0,10000,0,0
1682,0.84,0.8,0,10000,1,21,0.015262206,9.29E-05,0.005984347,8.04E-06,9172.214359,4637515.604,979,0,10000,0,10000,1,0.766597,0,10000,0,0
1683,0.84,0.8,0,10000,1,23,0.014353064,7.64E-05,0.00560646,7.86E-06,9062.505653,3804451.362,977,0,10000,0,10000,1,0.768614,0,10000,0,0
1684,0.84,0.8,0,10000,1,23,0.015731574,0.000100898,0.005949115,7.65E-06,9424.467626,5323941.293,977,0,10000,0,10000,1,0.79922,0,10000,0,0
1685,0.84,0.8,0,10000,1,23,0.01431498,6.18E-05,0.005829204,5.78E-06,8808.157246,2876577.573,977,0,10000,0,10000,1,0.768786,0,10000,0,0
1686,0.84,0.8,0,10000,1,24,0.014062857,5.86E-05,0.005781121,7.07E-06,8928.965021,3028600.143,976,0,10000,0,10000,1,0.760691,0,10000,0,0
1687,0.84,0.8,0,10000,1,23,0.014240334,6.38E-05,0.005701056,6.50E-06,9075.09147,3233591.625,977,0,10000,0,10000,1,0.768694,0,10000,0,0
1688,0.84,0.8,0,10000,1,22,0.015388897,0.000114487,0.005853475,8.89E-06,9139.077002,3726141.227,978,0,10000,0,10000,1,0.789409,0,10000,0,0
1689,0.84,0.8,0,10000,1,22,0.01497913,0.000109617,0.005808796,1.11E-05,9219.858316,4306817.241,978,0,10000,0,10000,1,0.76387,0,10000,0,0
1690,0.84,0.8,0,10000,1,23,0.014446395,7.34E-05,0.005890923,7.99E-06,8980.938335,4027522.644,977,0,10000,0,10000,1,0.783355,0,10000,0,0
1691,0.84,0.8,0,10000,1,23,0.013985086,4.67E-05,0.00586916,6.30E-06,8744.560123,3712097.04,977,0,10000,0,10000,1,0.713421,0,10000,0,0
1692,0.84,0.8,0,10000,1,23,0.01459952,6.26E-05,0.005954886,7.51E-06,9020.791367,4245046.354,977,0,10000,0,10000,1,0.719195,0,10000,0,0
1693,0.84,0.8,0,10000,1,24,0.014665583,7.68E-05,0.005745049,5.99E-06,9118.190329,3482191.963,976,0,10000,0,10000,1,0.75732,0,10000,0,0
1694,0.84,0.8,0,10000,1,24,0.014420486,7.60E-05,0.005686837,7.05E-06,9010.898148,4136143.82,976,0,10000,0,10000,1,0.763643,0,10000,0,0
1695,0.84,0.8,0,10000,1,23,0.014407313,6.67E-05,0.005715721,6.85E-06,9078.450154,5990280.745,977,0,10000,0,10000,1,0.795943,0,10000,0,0
1696,0.84,0.8,0,10000,1,24,0.014698475,6.51E-05,0.005764296,6.41E-06,9220.739712,4583558.271,976,0,10000,0,10000,1,0.745365,0,10000,0,0
1697,0.84,0.8,0,10000,1,22,0.013939301,6.25E-05,0.005390399,5.70E-06,9217.7423,4424726.534,978,0,10000,0,10000,1,0.806952,0,10000,0,0
1698,0.84,0.8,0,10000,1,22,0.014166474,6.75E-05,0.005483286,4.95E-06,9212.73614,4207517.804,978,0,10000,0,10000,1,0.744304,0,10000,0,0
1699,0.84,0.8,0,10000,1,22,0.015344201,0.000103468,0.0060427,1.18E-05,9059.059548,4064188.769,978,0,10000,0,10000,1,0.756433,0,10000,0,0
1700,0.84,0.8,0,10000,1,23,0.013505357,6.04E-05,0.00542614,6.52E-06,9194.535457,3328505.823,977,0,10000,0,10000,1,0.794376,0,10000,0,0
2101,0.85,0.8,0,10000,1,22,0.015698823,6.67E-05,0.00632975,6.82E-06,8835.010267,5164807.281,978,0,10000,0,10000,1,0.804293,0,10000,0,0
2102,0.85,0.8,0,10000,1,22,0.016258546,9.83E-05,0.006308562,8.21E-06,8899.954825,4301751.901,978,0,10000,0,10000,1,0.794594,0,10000,0,0
2103,0.85,0.8,0,10000,1,23,0.016905951,0.000104474,0.006469678,9.93E-06,8999.353546,5058630.522,977,0,10000,0,10000,1,0.803684,0,10000,0,0
2104,0.85,0.8,0,10000,1,23,0.015947226,8.32E-05,0.006481256,1.03E-05,8780.784173,4396976.535,977,0,10000,0,10000,1,0.737133,0,10000,0,0
2105,0.85,0.8,0,10000,1,22,0.014975162,9.46E-05,0.005836257,6.25E-06,8970.836756,3930145.081,978,0,10000,0,10000,1,0.756525,0,10000,0,0
2106,0.85,0.8,0,10000,1,22,0.01675054,0.000103754,0.006708216,1.07E-05,8833.497947,4776770.515,978,0,10000,0,10000,1,0.743159,0,10000,0,0
2107,0.85,0.8,0,10000,1,22,0.015350459,7.42E-05,0.006060125,6.87E-06,8975.882957,4966293.804,978,0,10000,0,10000,1,0.767298,0,10000,0,0
2108,0.85,0.8,0,10000,1,22,0.014915095,8.29E-05,0.00599809,7.44E-06,8832.440452,3505188.624,978,0,10000,0,10000,1,0.745894,0,10000,0,0
2109,0.85,0.8,0,10000,1,22,0.01521949,6.92E-05,0.00588903,6.58E-06,8908.185832,4306363.519,978,0,10000,0,10000,1,0.795191,0,10000,0,0
2110,0.85,0.8,0,10000,1,24,0.016307788,9.22E-05,0.006529574,1.10E-05,8900.458848,5030790.658,976,0,10000,0,10000,1,0.764551,0,10000,0,0
2111,0.85,0.8,0,10000,1,23,0.016322307,0.000103868,0.006290624,9.40E-06,9235.475848,5627757.9,977,0,10000,0,10000,1,0.759804,0,10000,0,0
