Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
20000,0,10000,1,22,0.052639808,0.000856543,2092.51848,4428254.841,978,0,10000,0,10000,1,0.744427
20000,0,10000,1,24,0.051809052,0.001047466,2135.190329,2370008.644,976,0,10000,0,10000,1,0.517751
20000,0,10000,1,30,0.058113282,0.002655562,1885.808081,2117107.527,895,1,925,0,10000,0,10000
20000,1,264,1,23,0.063068784,0.00275005,2336.419492,6321169.43,240,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.060118549,0.001215052,2545.207819,12146964.82,976,0,10000,0,10000,1,0.730941
30000,0,10000,1,27,0.060990076,0.0014917,3273.553763,13211169.72,190,1,217,0,10000,0,10000
30000,1,171,1,23,0.070741153,0.001452321,1809.741259,1310851.814,147,0,10000,0,10000,0,10000
30000,1,934,1,22,0.06904266,0.004211129,2874.648291,10339153.54,911,0,10000,0,10000,0,10000
30000,1,499,1,26,0.059627684,0.001185004,2686.845824,7499992.126,471,0,10000,0,10000,0,10000
30000,1,217,1,21,0.064967805,0.001797891,2118.586387,3206044.127,195,0,10000,0,10000,0,10000
30000,0,10000,1,22,0.062679078,0.001939205,2254.078029,4474606.22,978,0,10000,0,10000,1,0.791943
30000,0,10000,1,24,0.063105045,0.001419677,2182.468107,3500658.547,976,0,10000,0,10000,1,0.774148
30000,1,993,1,24,0.066665235,0.002503113,1976.734164,2133941.2,967,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.066032134,0.001600506,2029.914609,3419484.566,976,0,10000,0,10000,1,0.780437
30000,0,10000,1,21,0.066717535,0.002113219,2552.310769,12231512.53,979,0,10000,0,10000,1,0.27288
30000,1,50,1,21,0.115207383,0.007208497,625.6086957,152240.7599,27,0,10000,0,10000,0,10000
30000,1,828,1,21,0.068126105,0.002074587,1954.406484,3539265.044,806,0,10000,0,10000,0,10000
30000,1,421,1,23,0.065970636,0.00187467,1587.195929,1879373.74,397,0,10000,0,10000,0,10000
30000,0,10000,1,24,0.057505157,0.001073154,2293.658537,3765205.761,332,1,356,0,10000,0,10000
30000,0,10000,1,23,0.069899845,0.002688193,2139.217883,3519738.022,977,0,10000,0,10000,1,0.703082
30000,1,961,1,23,0.06850168,0.003111071,2478.754555,13610440.61,937,0,10000,0,10000,0,10000
30000,0,10000,1,23,0.066327233,0.001410418,1897.364851,2798876.567,977,0,10000,0,10000,1,0.692045
30000,1,661,1,30,0.063387773,0.002235025,2853.384,13406457.26,629,0,10000,0,10000,0,10000
30000,1,93,1,26,0.088245782,0.007788511,2057.5,2504584.121,66,0,10000,0,10000,0,10000
40000,1,42,1,21,0.1566571,0.052883566,1780.375,2808677.734,20,0,10000,0,10000,0,10000
