Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
50000,1,136,1,24,0.095021186,0.010069323,3673.367925,19501079.87,110,0,10000,0,10000,0,10000
50000,1,106,1,25,0.093138254,0.00221697,2550.013158,10186301.28,80,0,10000,0,10000,0,10000
50000,1,55,1,26,0.149771121,0.004037527,439.4583333,147890.9983,28,0,10000,0,10000,0,10000
50000,1,175,1,25,0.104258257,0.00717482,3595.451389,21018230.14,148,0,10000,0,10000,0,10000
50000,1,162,1,24,0.106410892,0.003960265,4299.431818,41222413.09,136,0,10000,0,10000,0,10000
50000,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,31,0,10000,0,10000
50000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,110,1,24,0.166789142,0.008107915,823.4567901,651548.0753,85,0,10000,0,10000,0,10000
50000,1,33,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
50000,1,140,1,28,0.1588815,0.010335625,566.3084112,238969.3161,111,0,10000,0,10000,0,10000
50000,1,176,1,25,0.093716047,0.005616903,1600.458904,3360429.563,150,0,10000,0,10000,0,10000
50000,1,44,1,26,0.140155854,0.000968666,873.0769231,109616.2249,17,0,10000,0,10000,0,10000
60000,1,352,1,23,0.105981961,0.010639727,2639.455108,17373854.29,327,0,10000,0,10000,0,10000
60000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,30,0,10000,0,10000
60000,1,78,1,24,0.122677217,0.003974858,2164.729167,3788263.781,52,0,10000,0,10000,0,10000
60000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,135,1,22,0.177078758,0.034885157,1811.133333,10353641.83,110,0,10000,0,10000,0,10000
60000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
60000,1,33,1,26,0.3128775,0.001023392,178.5,3540.25,6,0,10000,0,10000,0,10000
60000,1,47,1,23,0.118462742,0.003858538,553.3684211,103835.7064,23,0,10000,0,10000,0,10000
60000,1,117,1,22,0.089362794,0.003024213,3460.166667,15260566.72,94,0,10000,0,10000,0,10000
60000,1,154,1,23,0.119931142,0.006974526,1404.904762,2370168.61,130,0,10000,0,10000,0,10000
60000,1,284,1,23,0.086569613,0.003525721,4062.164063,34114753.16,260,0,10000,0,10000,0,10000
60000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
