Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
90000,1,128,1,63,0.126065122,0.008808418,9448.766667,63324459.18,64,0,10000,0,10000,0,10000
90000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,114,1,62,0.084227109,0.003060252,12893.14894,86671644.72,51,0,10000,0,10000,0,10000
90000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
90000,1,76,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,192,1,62,0.164358016,0.033151965,13344.792,123342190.3,129,0,10000,0,10000,0,10000
100000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,79,1,65,0.377059,0.019044194,394.625,20709.48438,12,0,10000,0,10000,0,10000
100000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,77,1,65,0.8447038,0.034146393,46.4,331.44,9,0,10000,0,10000,0,10000
100000,1,80,1,53,0.349383905,0.10810702,1645.090909,3607855.446,26,0,10000,0,10000,0,10000
100000,1,80,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,121,1,58,0.213364147,0.033812346,7567.526316,48975864.46,61,0,10000,0,10000,0,10000
100000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,77,1,59,0.249953538,0.004609847,626.6153846,140817.0059,17,0,10000,0,10000,0,10000
100000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
100000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,65,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,84,1,59,0.14234655,0.00573826,3665.8,4940686.96,24,0,10000,0,10000,0,10000
110000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,132,1,59,0.141785185,0.025566892,11042.29412,69736068.21,72,0,10000,0,10000,0,10000
110000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,80,1,68,0.268227,0.000803983,833,279247.1429,11,0,10000,0,10000,0,10000
110000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,76,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,71,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
110000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,74,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,70,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,66,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,107,1,57,0.117917168,0.011329624,14168.29545,125642206.4,48,0,10000,0,10000,0,10000
120000,1,72,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,68,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,67,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,69,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,73,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
