"","R1 Rate","Suppressed","Gen Suppressed","Chased","Gen Chased","Avg Nondrive GC during Chase","Var in Nondrive GC during Chase","Avg Overall GC during Chase","Var in Overall GC During Chase","Avg Popsize during Chase","Var in Popsize during Chase","Duration of Chase","Drive Lost","Gen Drive Lost","Equilibrium State","Gen Equilibrium State","Simulation Stopped after 1000","Rate One Drive at End","R1 Resistance Occurred","Gen 10000 R1 Alleles Formed","DriveLostWithChase","DriveLostWithoutChase","ResWithChase","ResWithoutChase"
"94",0,1,330,1,25,0.079618075,0.00282659,0.039288252,0.001479047,7660.040134,33147137.52,303,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"95",0,1,376,1,23,0.08871058,0.007509339,0.045873449,0.003316788,5633.744928,14600604.49,349,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"96",0,1,32,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"97",0,1,31,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"98",0,1,63,1,28,0.107565133,0.003458781,0.051735263,0.000927352,4104.851852,4444111.015,31,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"99",0,1,688,1,24,0.072975026,0.002045367,0.030921136,0.000528546,8136.372907,30918707.69,661,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"100",0,1,32,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"101",1e-06,1,232,1,23,0.078806323,0.002867318,0.034769252,0.001019991,7389.679803,23031236.04,207,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"102",1e-06,1,62,1,29,0.156612788,0.023541317,0.091835565,0.00710312,3856.269231,7421609.428,30,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"103",1e-06,1,29,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"104",1e-06,1,33,0,10000,10000,10000,10000,10000,1e+06,1e+06,10000,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"105",1e-06,1,873,1,27,0.074338416,0.002175906,0.033720713,0.000831858,7228.753278,25525612.74,843,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"106",1e-06,1,38,1,24,0.26459725,0.013790129,0.170554375,0.004074512,538.625,43988.48438,12,0,10000,0,10000,0,10000,0,10000,0,0,0,0
"107",1e-06,1,389,1,30,0.079560716,0.004767523,0.036982947,0.001527819,7718.235127,25298787.52,357,0,10000,0,10000,0,10000,0,10000,0,0,0,0
