,R1 Rate,Suppressed,Gen Suppressed,Chased,Gen Chased,Avg Nondrive GC during Chase,Var in Nondrive GC during Chase,Avg Overall GC during Chase,Var in Overall GC During Chase,Avg Popsize during Chase,Var in Popsize during Chase,Duration of Chase,Drive Lost,Gen Drive Lost,Equilibrium State,Gen Equilibrium State,Simulation Stopped after 1000,Rate One Drive at End,R1 Resistance Occurred,Gen 10000 R1 Alleles Formed,DriveLostWithChase,DriveLostWithoutChase,ResWithChase,ResWithoutChase
62,0,1,183,1,21,0.064694289,0.002195519,0.032076254,0.000825468,10217.01299,61548815.83,158,0,10000,0,10000,0,10000,0,10000,0,0,0,0
63,0,0,10000,1,20,0.066421285,0.002820922,0.034528539,0.000908679,12428.69935,127294826,157,1,177,0,10000,0,10000,0,10000,1,0,0,0
64,0,1,312,1,25,0.065688308,0.001970933,0.033436695,0.000774897,7503.057348,25362204.26,283,0,10000,0,10000,0,10000,0,10000,0,0,0,0
65,0,1,181,1,22,0.076103726,0.002835237,0.041459181,0.001094005,7234.111111,24388415.39,157,0,10000,0,10000,0,10000,0,10000,0,0,0,0
66,0,1,64,1,22,0.066178894,0.001907892,0.028978925,0.000340898,7777.4,21557059.5,39,0,10000,0,10000,0,10000,0,10000,0,0,0,0
67,0,1,372,1,22,0.075942518,0.002816576,0.040467552,0.001340501,7550.561047,24384990.44,348,0,10000,0,10000,0,10000,0,10000,0,0,0,0
68,0,0,10000,1,23,0.069945285,0.00160368,0.030596274,0.000340786,10510.66337,32155822.05,105,1,128,0,10000,0,10000,0,10000,1,0,0,0
69,0,0,10000,1,24,0.068488544,0.001955427,0.034134058,0.000798351,9112.238938,53230110.12,230,1,254,0,10000,0,10000,0,10000,1,0,0,0
70,0,0,10000,1,19,0.068442618,0.001176145,0.033258025,0.000361421,7982.927007,15548961.08,141,1,160,0,10000,0,10000,0,10000,1,0,0,0
71,0,1,640,1,20,0.07119948,0.002896411,0.037546499,0.001341702,8124.045677,30006301.37,617,0,10000,0,10000,0,10000,0,10000,0,0,0,0
72,0,0,10000,1,23,0.051900735,0.001496917,0.024833099,0.000278303,11309.54545,51059116.65,147,1,170,0,10000,0,10000,0,10000,1,0,0,0
73,0,0,10000,1,28,0.06814817,0.003340502,0.036312551,0.001661932,10313.49364,84708656.52,711,1,739,0,10000,0,10000,0,10000,1,0,0,0
74,0,1,77,1,24,0.085374065,0.000970254,0.045217007,0.000400834,5508.217391,10101122.04,50,0,10000,0,10000,0,10000,0,10000,0,0,0,0
75,0,1,885,1,23,0.071398534,0.004076206,0.038075962,0.002230226,9705.639766,52192700.21,859,0,10000,0,10000,0,10000,0,10000,0,0,0,0
76,0,1,417,1,24,0.073437911,0.003823371,0.038140851,0.001538266,9416.674419,47209147.93,391,0,10000,0,10000,0,10000,0,10000,0,0,0,0
77,0,0,10000,1,21,0.065994286,0.001318002,0.032538628,0.000427453,9286.737143,31069894.26,179,1,200,0,10000,0,10000,0,10000,1,0,0,0
78,0,1,150,1,23,0.058538404,0.002771097,0.029034997,0.000744625,8593.487603,32663356.61,125,0,10000,0,10000,0,10000,0,10000,0,0,0,0
79,0,1,923,1,23,0.070060393,0.003219172,0.036118209,0.001347931,10143.70358,59427094.98,898,0,10000,0,10000,0,10000,0,10000,0,0,0,0
80,0,1,254,1,24,0.064140014,0.001397448,0.031739423,0.0004415,8722.973214,26108114.31,228,0,10000,0,10000,0,10000,0,10000,0,0,0,0
81,0,1,95,1,21,0.092276074,0.005497479,0.045837435,0.001235783,5596.514706,11200806.81,72,0,10000,0,10000,0,10000,0,10000,0,0,0,0
