Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.83,112,1,235,1,28,0.065559126,0.009487904,1983.371287,1221249.699,206,0,10000,0,10000,0,10000,0.074313567
0.8,0.83,107,1,213,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.113337915
0.8,0.83,107,1,248,1,123,0.086108295,0.018636953,1413.358333,450158.1633,124,0,10000,0,10000,0,10000,0.12389277
0.8,0.83,125,1,228,1,109,0.106226601,0.021119263,1564.807018,911515.454,118,0,10000,0,10000,0,10000,0.111377203
0.8,0.83,103,1,222,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.118924066
0.8,0.83,118,1,253,1,189,0.294277422,0.065578089,427.8983051,78066.26084,63,0,10000,0,10000,0,10000,0.113143729
0.8,0.83,100,1,219,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.11786744
0.8,0.83,124,1,255,1,79,0.085285434,0.009670365,1559.047059,928785.4448,174,0,10000,0,10000,0,10000,0.114572985
0.8,0.83,111,1,241,1,93,0.151946451,0.052769067,1271.384615,623433.8031,147,0,10000,0,10000,0,10000,0.103719833
0.8,0.83,110,1,230,1,206,0.383144368,0.049133905,168.7894737,13305.95568,23,0,10000,0,10000,0,10000,0.118707974
0.8,0.83,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,23,0,10000,0,10000,0.017222436
0.8,0.83,107,1,254,1,127,0.117175207,0.029355245,1315.5,449598.6598,126,0,10000,0,10000,0,10000,0.12171385
0.8,0.83,146,1,309,1,172,0.082610005,0.034555597,1661.060606,425912.2388,136,0,10000,0,10000,0,10000,0.111120024
0.8,0.83,124,1,236,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.113139317
0.8,0.83,135,1,245,1,58,0.080676998,0.013085322,1554.71978,670612.4215,186,0,10000,0,10000,0,10000,0.114022402
0.8,0.83,117,1,252,1,44,0.103713506,0.038669945,1880.551724,1074664.74,207,0,10000,0,10000,0,10000,0.085976918
0.8,0.83,137,1,357,1,208,0.099762933,0.008887098,1075.243056,246239.3645,148,0,10000,0,10000,0,10000,0.112060636
0.8,0.83,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.012940263
0.8,0.83,97,1,224,1,31,0.083253812,0.012474465,1777.457447,1234904.269,192,0,10000,0,10000,0,10000,0.0990807
0.8,0.84,124,1,250,1,177,0.250919222,0.034165366,519.5147059,120880.2498,72,0,10000,0,10000,0,10000,0.109770105
0.8,0.84,117,1,235,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.111999648
0.8,0.84,131,1,257,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.111881891
0.8,0.84,88,1,222,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.113217353
