Fitness,Drive Efficiency,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
0.8,0.83,84,0,10000,1,31,0.024242197,0.000160452,1670.536788,320979.8984,969,0,10000,0,10000,1,0.443473,0.095159341
0.8,0.83,93,0,10000,1,55,0.027122691,0.0002543,1624.842721,336276.7085,945,0,10000,0,10000,1,0.551518,0.099239296
0.8,0.83,81,0,10000,1,28,0.032245344,0.00056931,1549.011364,367399.379,972,0,10000,0,10000,1,0.19568,0.124849071
0.8,0.83,92,0,10000,1,31,0.026718296,0.000421189,1740.169948,478577.8633,969,0,10000,0,10000,1,0.328954,0.100328278
0.8,0.83,92,0,10000,1,20,0.022274558,0.000164934,1806.605533,410475.4028,980,0,10000,0,10000,1,0.262745,0.089011175
0.8,0.83,96,0,10000,1,21,0.027935673,0.00034064,1661.470769,426015.5538,979,0,10000,0,10000,1,0.264405,0.100769082
0.8,0.84,71,0,10000,1,44,0.027795755,0.000252505,1607.232143,330884.3148,956,0,10000,0,10000,1,0.14682,0.095387913
0.8,0.84,80,0,10000,1,29,0.034979639,0.001021445,1548.770424,482763.3909,971,0,10000,0,10000,1,0.250911,0.091725752
0.8,0.84,75,0,10000,1,26,0.028103736,0.000713617,1700.014433,516369.5503,974,0,10000,0,10000,1,0.439283,0.119351959
0.8,0.84,85,0,10000,1,32,0.029806381,0.00058274,1664.625519,445824.9936,968,0,10000,0,10000,1,0.0414372,0.078441718
0.8,0.84,94,0,10000,1,17,0.024498436,0.000194112,1777.512768,455931.6186,983,0,10000,0,10000,1,0.21503,0.069401415
0.8,0.84,105,0,10000,1,33,0.021345115,0.000197641,1992.570093,562624.7685,967,0,10000,0,10000,1,0.257652,0.108021752
0.8,0.84,86,0,10000,1,20,0.029781467,0.000741536,1840.83709,585256.038,980,0,10000,0,10000,1,0.233053,0.085545206
0.8,0.84,77,0,10000,1,31,0.02870302,0.000302254,1657.037306,464128.6535,969,0,10000,0,10000,1,0.21457,0.094742311
0.8,0.84,81,0,10000,1,22,0.024925244,0.00023903,1756.170431,412300.2194,978,0,10000,0,10000,1,0.366864,0.093649528
0.8,0.84,104,0,10000,1,21,0.026010211,0.000306678,1738.305641,528799.7733,979,0,10000,0,10000,1,0.27957,0.095091871
0.8,0.84,102,0,10000,1,15,0.022500006,0.000496898,2397.702128,931552.4219,192,1,207,0,10000,0,10000,0.082334827
0.8,0.84,80,0,10000,1,29,0.026537372,0.000297855,1663.418821,387191.9084,971,0,10000,0,10000,1,0.152911,0.104329644
0.8,0.84,89,0,10000,1,34,0.031915459,0.000476454,1593.14553,363695.8562,966,0,10000,0,10000,1,0.261661,0.112006167
0.8,0.84,80,0,10000,1,38,0.028634781,0.000262422,1562.829854,346217.0514,962,0,10000,0,10000,1,0.316009,0.092953021
0.8,0.84,80,0,10000,1,22,0.025634115,0.000235503,1796.929158,468989.7537,978,0,10000,0,10000,1,0.326197,0.080221733
0.8,0.84,81,0,10000,1,24,0.022974341,0.000278576,1910.786008,514863.0221,976,0,10000,0,10000,1,0.284974,0.10142575
0.8,0.84,98,0,10000,1,24,0.033011603,0.000824057,1699.029835,570251.6894,976,0,10000,0,10000,1,0.152107,0.094002065
0.8,0.84,90,0,10000,1,22,0.024231936,0.000212631,1802.63655,436627.6544,978,0,10000,0,10000,1,0.363119,0.092883411
0.8,0.84,89,0,10000,1,33,0.031412542,0.001470485,1858.765317,639751.2616,967,0,10000,0,10000,1,0.104134,0.129889438
0.8,0.84,80,0,10000,1,44,0.024719418,0.000136016,1612.55042,264693.1655,956,0,10000,0,10000,1,0.178394,0.136113678
0.8,0.85,93,0,10000,1,24,0.022300259,0.000205103,1974.814815,530770.3978,976,0,10000,0,10000,1,0.188856,0.10167448
0.8,0.85,92,0,10000,1,34,0.028558616,0.000325604,1696.835759,415094.3535,966,0,10000,0,10000,1,0.216996,0.08047143
0.8,0.85,70,0,10000,1,20,0.025036103,0.000254289,1774.341189,545906.2781,980,0,10000,0,10000,1,0.245127,0.075957888
0.8,0.85,94,0,10000,1,27,0.032165404,0.001218383,1661.123839,501944.5894,973,0,10000,0,10000,1,0.185249,0.096797357
0.8,0.85,61,0,10000,1,21,0.041470416,0.001862195,1550.540513,599505.0935,979,0,10000,0,10000,1,0.296267,0.107606288
0.8,0.85,75,0,10000,1,21,0.023735207,0.000242267,1880.058462,464261.0786,979,0,10000,0,10000,1,0.349565,0.0767519
0.8,0.85,88,0,10000,1,29,0.021401151,0.001165919,2357.438247,547185.4175,255,1,284,0,10000,0,10000,0.117623084
0.8,0.85,85,0,10000,1,39,0.031439953,0.000453716,1724.576803,412989.2911,961,0,10000,0,10000,1,0.218568,0.099336357
0.8,0.85,86,0,10000,1,28,0.026387336,0.000377632,1764.673554,407090.3748,972,0,10000,0,10000,1,0.110354,0.1230446
0.8,0.85,75,0,10000,1,20,0.026979009,0.000450977,1847.534836,490868.3943,980,0,10000,0,10000,1,0.126103,0.100523306
0.8,0.85,83,0,10000,1,25,0.026563676,0.000241248,1719.915551,437411.1278,975,0,10000,0,10000,1,0.558115,0.086820376
0.8,0.85,82,0,10000,1,28,0.032361545,0.000426049,1550.545455,499063.3988,972,0,10000,0,10000,1,0.135118,0.106119888
0.8,0.85,90,0,10000,1,30,0.033803338,0.000835037,1604.212215,440043.575,970,0,10000,0,10000,1,0.444053,0.122804538
0.8,0.85,84,0,10000,1,38,0.02162416,0.000150231,2005.41858,467902.068,962,0,10000,0,10000,1,0.262588,0.111922835
0.8,0.85,84,0,10000,1,21,0.027808783,0.000285281,1670.01641,431699.2264,979,0,10000,0,10000,1,0.263619,0.083760429
0.8,0.85,92,0,10000,1,31,0.028967145,0.000418162,1682.576166,435811.8608,969,0,10000,0,10000,1,0.290959,0.107096367
0.8,0.85,86,0,10000,1,46,0.033339726,0.000811638,1614.438947,437032.8315,954,0,10000,0,10000,1,0.215478,0.126282419
0.8,0.85,90,0,10000,1,26,0.030671834,0.000629203,1679.115464,475438.6485,974,0,10000,0,10000,1,0.204361,0.084491409
0.8,0.85,84,0,10000,1,20,0.027014895,0.000242722,1726.527664,380033.2062,980,0,10000,0,10000,1,0.309806,0.094480044
0.8,0.85,100,0,10000,1,19,0.027426968,0.000259243,1666.180143,418762.4875,981,0,10000,0,10000,1,0.235456,0.078007593
0.8,0.86,88,0,10000,1,28,0.030414783,0.000556743,1758.883264,522290.0453,972,0,10000,0,10000,1,0.215544,0.071786879
