Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.0035,228,0,10000,1,183,0.006337037,1.23E-05,3219.946154,113026.8356,264,1,447,0,10000,0,10000,0.036604273
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,54,0,10000,0,10000,0.030800039
2,0.0035,0,0,10000,1,75,0.002829521,5.09E-07,3610.032,12210.78298,129,1,204,0,10000,0,10000,0.036759974
2,0.0035,0,0,10000,1,176,0.004828809,7.39E-06,3392.798507,107369.7281,138,1,314,0,10000,0,10000,0.030193986
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,123,0,10000,0,10000,0.029275229
2,0.0035,312,0,10000,1,245,0.033354546,0.000122838,1730.694268,103153.4033,318,1,563,0,10000,0,10000,0.037481761
2,0.0035,0,0,10000,1,30,0.001447287,2.59E-07,3796.20339,11330.19592,63,1,93,0,10000,0,10000,0.030843497
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,116,0,10000,0,10000,0.035427015
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,73,0,10000,0,10000,0.029297296
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,76,0,10000,0,10000,0.031909908
2,0.0035,228,0,10000,1,49,0.00318155,1.09E-06,3567.393182,26425.96586,444,1,493,0,10000,0,10000,0.043238473
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,106,0,10000,0,10000,0.027235369
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,78,0,10000,0,10000,0.026912432
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,38,0,10000,0,10000,0.048795368
2,0.004,243,1,419,1,105,0.044732229,0.010665847,2323.699029,904599.4531,313,0,10000,0,10000,0,10000,0.041114689
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,75,0,10000,0,10000,0.035256728
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,230,0,10000,0,10000,0.043583445
2,0.004,0,0,10000,1,138,0.020598249,2.36E-05,2222.324324,69610.32725,78,1,216,0,10000,0,10000,0.041021368
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,81,0,10000,0,10000,0.034707621
2,0.004,203,0,10000,1,187,0.027086048,4.80E-05,1948.345133,92644.25256,230,1,417,0,10000,0,10000,0.035140055
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,45,0,10000,0,10000,0.043951056
2,0.004,225,1,372,1,62,0.092732023,0.030311826,1713.419672,867452.7813,309,0,10000,0,10000,0,10000,0.046154903
2,0.004,0,0,10000,1,131,0.015710212,1.62E-05,2470.723214,65146.6466,116,1,247,0,10000,0,10000,0.037559902
2,0.004,0,0,10000,1,48,0.007828341,1.16E-05,3065.511364,97950.22714,92,1,140,0,10000,0,10000,0.040462227
2,0.004,186,1,407,1,142,0.157367571,0.035885243,1148.215385,610308.469,264,0,10000,0,10000,0,10000,0.043944921
2,0.004,217,1,419,1,127,0.087736565,0.012890031,1481.526132,633651.4479,291,0,10000,0,10000,0,10000,0.044383433
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,187,0,10000,0,10000,0.036829606
2,0.004,0,0,10000,1,58,0.004945022,4.90E-06,3335.963158,59834.57233,194,1,252,0,10000,0,10000,0.040149787
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,177,0,10000,0,10000,0.040565597
2,0.004,0,0,10000,1,41,0.004613009,1.33E-06,3365.18797,24177.56617,137,1,178,0,10000,0,10000,0.038124949
2,0.004,0,0,10000,1,97,0.011015073,3.87E-05,2834.512,203799.8979,129,1,226,0,10000,0,10000,0.03459642
2,0.004,205,0,10000,1,168,0.038482988,0.000154765,1568.795238,140178.5057,214,1,382,0,10000,0,10000,0.048397159
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,119,0,10000,0,10000,0.034436891
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,46,0,10000,0,10000,0.049229507
2,0.0045,182,1,370,1,192,0.182318068,0.059256551,882.9421965,240626.8059,177,0,10000,0,10000,0,10000,0.045015338
2,0.0045,214,1,397,1,165,0.134479883,0.033733773,1168.743363,453300.2616,230,0,10000,0,10000,0,10000,0.044054399
2,0.0045,204,1,399,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.044638818
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,250,0,10000,0,10000,0.042806663
2,0.0045,182,1,355,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.048004663
2,0.0045,175,1,337,1,203,0.160243659,0.030398986,869.9069767,247751.5262,133,0,10000,0,10000,0,10000,0.051035899
2,0.0045,171,1,841,1,286,0.226799796,0.017192481,439.6363636,60603.38777,554,0,10000,0,10000,0,10000,0.046751521
2,0.0045,194,1,363,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.043044649
2,0.0045,173,1,327,1,140,0.139141044,0.030366726,1069.510989,354494.162,186,0,10000,0,10000,0,10000,0.053975789
2,0.0045,177,1,322,1,81,0.096989376,0.023831249,1554.881356,854956.8927,240,0,10000,0,10000,0,10000,0.057585641
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,178,0,10000,0,10000,0.044881109
2,0.0045,0,0,10000,1,46,0.012254683,3.95E-05,2762.833333,220292.1504,178,1,224,0,10000,0,10000,0.040346495
2,0.0045,196,0,10000,1,340,0.378920047,0.008609377,178.7466667,2987.775822,154,1,494,0,10000,0,10000,0.0469638
2,0.0045,180,0,10000,1,255,0.176357509,0.018221364,577.7522936,127794.1497,113,1,368,0,10000,0,10000,0.044939541
2,0.0045,0,0,10000,1,144,0.007885431,1.39E-05,3069.336364,120176.7869,114,1,258,0,10000,0,10000,0.042390549
2,0.0045,201,0,10000,1,129,0.070815939,0.004631982,1473.53211,487659.8636,222,1,351,0,10000,0,10000,0.046182852
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,15,0,10000,0,10000,0.02778506
2,0.0045,197,0,10000,1,99,0.05768126,0.005511461,1882.877876,1053844.528,569,1,668,0,10000,0,10000,0.054210767
2,0.0045,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,18,0,10000,0,10000,0.021482178
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,73,0,10000,0,10000,0.053720921
2,0.005,132,1,317,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.052637106
2,0.005,159,1,335,1,186,0.189057433,0.052268973,842.0972222,251426.935,148,0,10000,0,10000,0,10000,0.049241674
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,39,0,10000,0,10000,0.039250915
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,110,0,10000,0,10000,0.049270279
