Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.005,117,0,10000,1,33,0.015420173,0.000103264,2577.498818,366226.3115,427,1,460,0,10000,0,10000,0.039455879
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,120,0,10000,0,10000,0.043757775
2,0.005,114,0,10000,1,93,0.008075329,9.69E-06,3025.138655,96124.5564,242,1,335,0,10000,0,10000,0.048560566
2,0.005,137,0,10000,1,29,0.00781318,2.13E-05,3074.549784,173001.6328,235,1,264,0,10000,0,10000,0.038351762
2,0.005,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,59,0,10000,0,10000,0.03758089
2,0.005,144,1,300,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.048177428
2,0.005,117,0,10000,1,139,0.051187014,0.000256511,1281.56701,135345.1321,101,1,240,0,10000,0,10000,0.051609972
2,0.005,125,0,10000,1,59,0.023381028,6.03E-05,2092.431034,130859.636,178,1,237,0,10000,0,10000,0.049856722
2,0.005,0,0,10000,1,68,0.007303252,4.67E-06,3095.412429,47411.05589,181,1,249,0,10000,0,10000,0.064156989
2,0.005,140,0,10000,1,60,0.049857422,0.002605658,1905.140071,1047094.032,568,1,628,0,10000,0,10000,0.054501134
2,0.0055,118,1,262,1,193,0.296593492,0.01220853,253.7460317,20946.85614,67,0,10000,0,10000,0,10000,0.057866216
2,0.0055,119,1,427,1,48,0.07680955,0.018094089,1468.57754,581542.736,378,0,10000,0,10000,0,10000,0.050609477
2,0.0055,121,0,10000,1,65,0.045949363,0.003667204,1873.619469,458030.6133,343,1,408,0,10000,0,10000,0.061976928
2,0.0055,95,0,10000,1,45,0.014946373,8.49E-05,2600.777143,382107.8418,179,1,224,0,10000,0,10000,0.045267615
2,0.0055,143,1,255,1,87,0.112815387,0.02364557,1308.582822,543309.0161,167,0,10000,0,10000,0,10000,0.047843823
2,0.0055,93,1,209,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.057861768
2,0.0055,107,1,242,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.052722293
2,0.0055,103,0,10000,1,152,0.11645538,0.016530595,848.0543478,159199.2688,96,1,248,0,10000,0,10000,0.066774926
2,0.0055,114,1,235,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.059044303
2,0.0055,124,0,10000,1,40,0.128682182,0.05591024,1692.514423,1062134.615,212,1,252,0,10000,0,10000,0.048391036
2,0.0055,0,0,10000,1,72,0.018272273,3.01E-05,2295.489796,92250.94377,53,1,125,0,10000,0,10000,0.066053606
2,0.0055,124,0,10000,1,67,0.092056888,0.009710025,1727.10566,1797914.578,269,1,336,0,10000,0,10000,0.052293681
2,0.0055,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.0055,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,57,0,10000,0,10000,0.049761639
2,0.0055,124,0,10000,1,47,0.007811933,1.28E-05,3060.881857,114919.0409,241,1,288,0,10000,0,10000,0.044479458
2,0.0055,113,1,467,1,204,0.104506027,0.016003325,947.8333333,80836.34819,262,0,10000,0,10000,0,10000,0.058524868
2,0.0055,117,0,10000,1,28,0.014407831,7.98E-05,2650.969072,370433.7104,198,1,226,0,10000,0,10000,0.066312579
2,0.0055,0,0,10000,1,59,0.005552035,6.95E-06,3299.236842,74428.23338,42,1,101,0,10000,0,10000,0.053818927
2,0.0055,0,0,10000,1,60,0.022126243,0.000163119,2225.737374,266602.0926,103,1,163,0,10000,0,10000,0.056795618
2,0.0055,136,1,260,1,139,0.083725092,0.015915351,1330.827586,315903.2117,120,0,10000,0,10000,0,10000,0.047288526
2,0.006,90,1,197,1,24,0.085915361,0.021378783,1780.916168,1084083.406,171,0,10000,0,10000,0,10000,0.05743314
2,0.006,96,0,10000,1,33,0.00979915,1.64E-05,2876.72093,134548.6082,176,1,209,0,10000,0,10000,0.058176086
2,0.006,105,1,271,1,29,0.125891459,0.019191248,1424.683544,1221703.972,241,0,10000,0,10000,0,10000,0.06046718
2,0.006,96,0,10000,1,37,0.019386935,0.000508158,2722.475309,1168183.212,166,1,203,0,10000,0,10000,0.05308247
2,0.006,96,0,10000,1,113,0.064042014,0.000381042,1093.418919,52347.5137,78,1,191,0,10000,0,10000,0.070988865
2,0.006,0,0,10000,1,34,0.008740436,5.55E-06,2933.761905,30118.18141,25,1,59,0,10000,0,10000,0.08341624
2,0.006,98,1,425,1,68,0.080388597,0.017539139,1423.279202,360668.2924,355,0,10000,0,10000,0,10000,0.063528263
2,0.006,108,1,364,1,106,0.160895772,0.018114738,782.027668,357624.7542,257,0,10000,0,10000,0,10000,0.062404833
2,0.006,102,0,10000,1,131,0.065153792,0.001426677,1162.523392,152373.6822,346,1,477,0,10000,0,10000,0.061421331
2,0.006,104,1,264,1,28,0.14016404,0.020425193,1315.376623,1145410.824,235,0,10000,0,10000,0,10000,0.057342504
2,0.006,101,0,10000,1,22,0.014757718,9.76E-05,2618.53125,431702.9287,260,1,282,0,10000,0,10000,0.058587967
2,0.006,97,1,389,1,37,0.054943788,0.011326865,1857.54755,567126.9451,351,0,10000,0,10000,0,10000,0.065950955
2,0.006,106,0,10000,1,45,0.034514836,0.000257925,1834.706587,332225.86,171,1,216,0,10000,0,10000,0.060720044
2,0.006,0,0,10000,1,43,0.00638336,2.10E-07,3247.666667,6393.555556,10,1,53,0,10000,0,10000,0.067664556
2,0.006,97,0,10000,1,140,0.054889355,0.000366743,1221.583333,111213.6806,100,1,240,0,10000,0,10000,0.067179358
2,0.006,109,0,10000,1,19,0.012095356,8.21E-05,2799.142077,447272.9962,187,1,206,0,10000,0,10000,0.06357474
2,0.006,108,1,376,1,104,0.115032458,0.021820317,1229.853383,614570.9372,270,0,10000,0,10000,0,10000,0.056321583
2,0.006,105,1,204,1,22,0.08438055,0.019355715,1855.034091,1081635.794,180,0,10000,0,10000,0,10000,0.047696389
2,0.006,103,1,211,1,114,0.178321892,0.018911712,719.7608696,249079.9863,96,0,10000,0,10000,0,10000,0.06682327
2,0.006,100,0,10000,1,40,0.018157303,0.000249494,2543.72327,771359.001,481,1,521,0,10000,0,10000,0.057615561
2,0.0065,92,1,187,1,24,0.074978478,0.013803739,1843.303797,1115806.882,162,0,10000,0,10000,0,10000,0.05906184
2,0.0065,90,1,178,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.064404851
2,0.0065,109,0,10000,1,61,0.005076846,3.71E-06,3346.895425,58253.16553,157,1,218,0,10000,0,10000,0.060782593
2,0.0065,88,0,10000,1,76,0.05077383,0.001658307,1535.83871,318403.0062,190,1,266,0,10000,0,10000,0.063325117
2,0.0065,91,1,187,1,68,0.180539429,0.072167807,1186.035088,648666.8409,118,0,10000,0,10000,0,10000,0.072023434
2,0.0065,101,1,184,1,17,0.078278673,0.01604616,1816.765432,991107.1425,166,0,10000,0,10000,0,10000,0.069351985
2,0.0065,94,1,195,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.071638722
2,0.0065,88,1,188,1,106,0.192568387,0.024172146,723.9220779,247373.4744,81,0,10000,0,10000,0,10000,0.066050288
2,0.0065,100,0,10000,1,174,0.140710128,0.004896173,601.2427746,96515.58268,177,1,351,0,10000,0,10000,0.064076976
2,0.0065,87,1,187,1,19,0.093882046,0.021050424,1645.748466,1045641.035,167,0,10000,0,10000,0,10000,0.084976747
2,0.0065,86,1,189,1,41,0.110731205,0.025991922,1563.125874,1005508.32,147,0,10000,0,10000,0,10000,0.058046273
2,0.0065,81,1,173,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.068704783
2,0.0065,95,1,190,1,68,0.128630622,0.028332219,1248.581197,594719.0468,121,0,10000,0,10000,0,10000,0.06592538
2,0.0065,94,0,10000,1,49,0.004266414,1.49E-06,3436.05,24009.49036,144,1,193,0,10000,0,10000,0.060254791
2,0.0065,90,0,10000,1,52,0.039964892,0.000410603,1613.626506,300765.5954,170,1,222,0,10000,0,10000,0.0667634
2,0.0065,88,1,194,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.068685508
2,0.0065,103,1,199,1,26,0.07064432,0.011557126,1819.359281,883102.5536,171,0,10000,0,10000,0,10000,0.089508127
2,0.0065,109,0,10000,1,67,0.013039304,1.57E-05,2519.050725,92981.97569,142,1,209,0,10000,0,10000,0.067125879
2,0.0065,91,1,280,1,150,0.171930821,0.01831924,653.104,183647.7732,129,0,10000,0,10000,0,10000,0.070128329
2,0.0065,84,1,353,1,65,0.043412647,0.009970809,2623.632509,1270970.374,287,0,10000,0,10000,0,10000,0.064394982
2,0.007,91,1,176,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.069259695
2,0.007,73,1,163,1,34,0.112257808,0.022911574,1425.227642,833423.1514,127,0,10000,0,10000,0,10000,0.075004993
2,0.007,91,0,10000,1,99,0.088927265,0.005039482,1151.064935,368849.3075,81,1,180,0,10000,0,10000,0.07395878
2,0.007,81,1,179,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.069581326
2,0.007,82,0,10000,1,47,0.032778894,0.000431675,1818.883117,316540.5318,158,1,205,0,10000,0,10000,0.08861844
2,0.007,83,1,235,1,17,0.139076634,0.058726088,1522.638498,1190982.522,217,0,10000,0,10000,0,10000,0.083605462
2,0.007,78,0,10000,1,99,0.025277293,2.76E-05,1934.45614,50591.96737,61,1,160,0,10000,0,10000,0.084475363
2,0.007,87,0,10000,1,29,0.118282551,0.018245193,1193.316872,1027937.55,247,1,276,0,10000,0,10000,0.061595592
2,0.007,86,0,10000,1,149,0.283184778,0.022346286,281.4444444,44482.46914,22,1,171,0,10000,0,10000,0.078629635
2,0.007,78,1,167,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.076235493
2,0.007,78,0,10000,1,67,0.04616631,0.002474642,1933.283951,1101383.051,247,1,314,0,10000,0,10000,0.069587394
2,0.007,72,1,154,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.083703567
2,0.007,85,0,10000,1,127,0.161796376,0.003380027,499.0325203,47345.23471,127,1,254,0,10000,0,10000,0.072805528
2,0.007,82,0,10000,1,95,0.037766312,8.92E-05,1526.857143,68414.2415,88,1,183,0,10000,0,10000,0.073208277
2,0.007,85,1,163,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.074773309
2,0.007,77,0,10000,1,25,0.081850668,0.02437858,1902.952381,1086426.766,151,1,176,0,10000,0,10000,0.050658991
2,0.007,85,1,178,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.07024785
2,0.007,76,1,161,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.080581342
2,0.007,77,0,10000,1,21,0.027443624,0.000531227,2238.052632,638063.506,118,1,139,0,10000,0,10000,0.062374647
2,0.007,82,1,178,1,22,0.111664754,0.03364636,1746.993377,1154293.053,155,0,10000,0,10000,0,10000,0.071599961
2,0.0075,69,1,153,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.081313383
2,0.0075,73,1,166,1,75,0.12052234,0.027506091,1259.435294,502915.8223,89,0,10000,0,10000,0,10000,0.085780035
2,0.0075,76,1,152,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000,0.09129086
2,0.0075,74,1,155,1,147,0.235085333,0.001939856,99.33333333,2134.888889,7,0,10000,0,10000,0,10000,0.085015527
