Low-Density Growth Rate,Migration Rate,Time Elapsed, Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End, Thickness
2,0.0035,0,0,10000,1,30,0.000969317,9.48E-08,3805.8,8799.36,14,1,44,0,10000,0,10000,0.018758694
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,8,0,10000,0,10000,0.00619578
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,36,0,10000,0,10000,0.025080558
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,15,0,10000,0,10000,0.02041888
2,0.0035,0,0,10000,1,50,0.001504101,3.12E-07,3757.568627,13527.19954,157,1,207,0,10000,0,10000,0.021770698
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,16,0,10000,0,10000,0.028282645
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,10,0,10000,0,10000,0.01428387
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,25,0,10000,0,10000,0.026567823
2,0.0035,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,2,0,10000,0,10000,nan
2,0.004,0,0,10000,1,60,0.004394946,4.78E-07,3352,11863.38095,46,1,106,0,10000,0,10000,0.03299397
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,9,0,10000,0,10000,0.03296298
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,44,0,10000,0,10000,0.02669978
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,21,0,10000,0,10000,0.027726496
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,24,0,10000,0,10000,0.040868155
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,4,0,10000,0,10000,nan
2,0.004,0,0,10000,1,88,0.004338113,1.77E-06,3408.636364,33452.04959,59,1,147,0,10000,0,10000,0.025232571
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,5,0,10000,0,10000,nan
2,0.004,0,0,10000,1,52,0.002320393,2.86E-07,3595.076923,17537.68639,30,1,82,0,10000,0,10000,0.031199439
2,0.004,0,0,10000,1,23,nan,nan,nan,nan,2,1,25,0,10000,0,10000,0.026623108
2,0.004,0,0,10000,1,57,0.003263805,1.32E-06,3464.390244,51790.09161,45,1,102,0,10000,0,10000,0.034513089
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,30,0,10000,0,10000,0.024062524
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,6,0,10000,0,10000,0
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,3,0,10000,0,10000,nan
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,41,0,10000,0,10000,0.026596513
2,0.004,0,0,10000,1,25,0.002019298,5.68E-07,3719.518072,17932.29787,87,1,112,0,10000,0,10000,0.03957817
2,0.004,0,0,10000,0,10000,10000,10000,1000000,1000000,10000,1,25,0,10000,0,10000,0.020445011
